security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417P00024000,AGI,P,24.0,2025-04-17,209,0,315,0.7,1743794113713000000,159,11130.0,2025-04-04,Automatic Execution,Basic Materials,Mining - Gold,25.83,26.26,24.29,24.52,23,4.046495164334709,3,1,0,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00026000,AGI,C,26.0,2025-04-17,227,0,312,0.79,1744119616974000000,96,7584.0,2025-04-08,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.6,25.86,24.345,24.5,33,3.87989832433001,5,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00026000,AGI,C,26.0,2025-04-17,227,0,312,0.79,1744119616974000000,124,9796.0,2025-04-08,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.6,25.86,24.345,24.5,25,3.9910487764526765,4,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,16000.0,23500.0,O:AGI250417C00028000,AGI,C,28.0,2025-04-17,209,0,325,0.32,1744226586262000000,500,16000.0,2025-04-09,Automatic Execution,Basic Materials,Mining - Gold,25.81,27.085,25.64,26.54,7,4.204119982655925,1,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00028000,AGI,C,28.0,2025-04-17,227,0,323,0.4,1744205774422000000,171,6840.000000000001,2025-04-09,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.81,27.085,25.64,26.54,38,3.835056101720116,5,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00028000,AGI,C,28.0,2025-04-17,227,0,323,0.46,1744218502992000000,246,11316.000000000002,2025-04-09,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.81,27.085,25.64,26.54,21,4.053692938784954,3,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00028000,AGI,C,28.0,2025-04-17,227,0,323,0.41,1744218183742000000,300,12299.999999999998,2025-04-09,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.81,27.085,25.64,26.54,16,4.089905111439398,2,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,12425.0,14489.999999999998,O:AGI250417C00028000,AGI,C,28.0,2025-04-17,227,0,309,0.46,1744219224779000000,300,13800.0,2025-04-09,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,25.81,27.085,25.64,26.54,12,4.139879086401237,2,1,1,1,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00030000,AGI,C,30.0,2025-04-17,227,0,323,0.24,1744298165113000000,500,12000.0,2025-04-10,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,26.92,28.47,26.775,27.97,17,4.079181246047625,3,1,1,0,0
AGI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,6840.000000000001,12299.999999999998,O:AGI250417C00030000,AGI,C,30.0,2025-04-17,227,0,323,0.23,1744297270367000000,500,11500.0,2025-04-10,Single Leg Auction Non ISO,Basic Materials,Mining - Gold,26.92,28.47,26.775,27.97,19,4.060697840353612,3,1,1,0,0
