security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
PFG,Finance,Insurance - Multi line,0.55,22200.0,7. p90_trade_value,2.0,14,10__0,10,0.0,19975.2,28802.75,38612.55,40819.76,41040.48,41062.55,41064.75
PGR,Finance,Insurance - Property and Casualty,0.55,176000.00000000003,4. p999_trade_value,2.0,1435,30__2,30,2.0,12824.0,21148.8,43468.6,159351.76,367664.25,396541.43,399429.14
PLMR,Finance,Insurance - Property and Casualty,0.55,7350.0,8. p75_trade_value,3.0,9,10__0,10,0.0,12400.0,16200.0,19240.0,19924.0,19992.4,19999.24,19999.92
PRI,Finance,Insurance - Life Insurance,0.55,,,,5,5__0,5,0.0,4868.0,4936.0,4990.4,5002.64,5003.86,5003.99,5004.0
PRU,Finance,Insurance - Multi line,0.55,,,,240,25__0,25,0.0,15459.0,22715.45,46015.86,69219.61,71260.26,71464.33,71484.73
RDN,Finance,Insurance - Multi line,0.55,,,,4,5__3,5,3.0,18117.0,19123.5,19928.7,20109.87,20127.99,20129.8,20129.98
RGA,Finance,Insurance - Life Insurance,0.55,,,,15,10__0,10,0.0,9432.0,9857.0,9963.4,9987.34,9989.73,9989.97,9990.0
RLI,Finance,Insurance - Property and Casualty,0.55,,,,3,5__3,5,3.0,12706.4,13665.7,14433.14,14605.81,14623.08,14624.81,14624.98
RNR,Finance,Insurance - Property and Casualty,0.55,,,,51,15__0,15,0.0,9870.0,12900.0,22050.0,29205.0,29920.5,29992.05,29999.2
ROOT,Finance,Insurance - Property and Casualty,0.55,158400.0,1. p999999_trade_value,1.0,2739,35__0,35,0.0,15192.0,22100.0,46518.6,102800.98,146079.0,157167.9,158276.79
RYAN,Finance,Insurance - Brokerage,0.55,11499.999999999998,8. p75_trade_value,6.0,24,15__0,15,0.0,23850.0,26078.0,108215.8,130269.58,132474.96,132695.5,132717.55
SIGI,Finance,Insurance - Property and Casualty,0.55,3300.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0
SKWD,Finance,Insurance - Property and Casualty,0.55,13500.0,1. p999999_trade_value,1.0,1,0__0,0,0.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0
SLF,Finance,Insurance - Life Insurance,0.55,,,,3,5__0,5,0.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
SLQT,Finance,Insurance - Multi line,0.55,,,,31,15__0,15,0.0,7152.0,8460.0,11066.0,11816.6,11891.66,11899.17,11899.92
SPNT,Finance,Insurance - Multi line,0.55,6000.0,1. p999999_trade_value,1.0,6,10__0,10,0.0,5400.0,5700.0,5940.0,5994.0,5999.4,5999.94,5999.99
TIPT,Finance,Insurance - Brokerage,0.55,,,,40,15__0,15,0.0,21410.4,27039.75,30517.25,30771.73,30797.17,30799.72,30799.97
TRUP,Finance,Insurance - Accident and Health,0.55,,,,137,20__0,20,0.0,13884.0,30624.0,80260.0,206368.0,223136.8,224813.68,224981.37
TRV,Finance,Insurance - Property and Casualty,0.55,17280.0,6. p95_trade_value,16.0,310,25__0,25,0.0,11540.5,17154.0,53968.9,144482.0,172848.2,175684.82,175968.48
UNM,Finance,Insurance - Accident and Health,0.55,12475.0,8. p75_trade_value,15.0,58,20__1,20,1.0,35160.5,46009.95,150890.3,205889.03,211388.9,211938.89,211993.89
UVE,Finance,Insurance - Property and Casualty,0.55,,,,4,5__0,5,0.0,11600.0,12800.0,13760.0,13976.0,13997.6,13999.76,13999.98
VOYA,Finance,Insurance - Life Insurance,0.55,,,,14,10__0,10,0.0,8340.0,8719.25,8747.85,8754.29,8754.93,8754.99,8755.0
WRB,Finance,Insurance - Property and Casualty,0.55,,,,29,15__0,15,0.0,10500.0,12650.0,13650.0,13965.0,13996.5,13999.65,13999.97
WTW,Finance,Insurance - Brokerage,0.55,36946.0,6. p95_trade_value,13.0,256,25__0,25,0.0,15409.5,35861.5,163253.95,239328.2,259067.72,261041.67,261239.07
