security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,2. p99999_trade_value,22997600.0,47028254.0,O:MSTR241129C00610000,MSTR,C,610.0,2024-11-29,233,0,304,25.92,1732118807205000000,10000,25920000.000000004,2024-11-20,Multi Leg Auction,Computer and Technology,Computer - Software,463.4,504.83,457.3024,473.83,7,7.413634997198556,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241129C00750000,MSTR,C,750.0,2024-11-29,235,0,301,12.0,1732118948747000000,10000,12000000.0,2024-11-20,Multi Leg floor trade,Computer and Technology,Computer - Software,463.4,504.83,457.3024,473.83,25,7.079181246047625,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241129C00760000,MSTR,C,760.0,2024-11-29,233,0,304,11.59,1732118807205000000,10000,11590000.0,2024-11-20,Multi Leg Auction,Computer and Technology,Computer - Software,463.4,504.83,457.3024,473.83,29,7.064083435963596,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,2. p99999_trade_value,22997600.0,47028254.0,O:MSTR241206C00620000,MSTR,C,620.0,2024-12-06,233,0,304,37.63,1732130705819000000,6250,23518750.000000004,2024-11-20,Multi Leg Auction,Computer and Technology,Computer - Software,463.4,504.83,457.3024,473.83,9,7.37141423566394,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241206C00890000,MSTR,C,890.0,2024-12-06,233,0,304,13.75,1732130705819000000,6250,8593750.0,2024-11-20,Multi Leg Auction,Computer and Technology,Computer - Software,463.4,504.83,457.3024,473.83,48,6.934182715510357,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241206P00250000,MSTR,P,250.0,2024-12-06,233,0,304,11.97,1732207018760000000,5000,5985000.0,2024-11-21,Multi Leg Auction,Computer and Technology,Computer - Software,535.63,543.0,371.8401,397.28,87,6.77706415474243,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,2. p99999_trade_value,22997600.0,47028254.0,O:MSTR241206C00505000,MSTR,C,505.0,2024-12-06,235,0,301,26.49,1732556334732000000,10000,26490000.0,2024-11-25,Multi Leg floor trade,Computer and Technology,Computer - Software,440.75,440.75,383.8,403.45,6,7.423081958297231,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241206C00710000,MSTR,C,710.0,2024-12-06,235,0,301,8.4,1732556334732000000,10000,8400000.0,2024-11-25,Multi Leg floor trade,Computer and Technology,Computer - Software,440.75,440.75,383.8,403.45,52,6.924279286061882,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241206C00460000,MSTR,C,460.0,2024-12-06,235,0,301,16.32,1732636620432000000,10000,16320000.0,2024-11-26,Multi Leg floor trade,Computer and Technology,Computer - Software,382.78,402.9999,338.6701,353.69,16,7.212720154417842,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241227P00300000,MSTR,P,300.0,2024-12-27,234,0,300,28.96,1732729243919000000,2300,6660800.0,2024-11-27,Multi Leg Cross,Computer and Technology,Computer - Software,384.29,397.66,372.5,388.84,80,6.823526393542702,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241227P00300000,MSTR,P,300.0,2024-12-27,235,0,300,30.45,1732726666277000000,2500,7612500.0,2024-11-27,Multi Leg floor trade,Computer and Technology,Computer - Software,384.29,397.66,372.5,388.84,62,6.881527305640931,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,2. p99999_trade_value,22997600.0,47028254.0,O:MSTR241227P00300000,MSTR,P,300.0,2024-12-27,234,0,300,30.26,1732724956156000000,7600,22997600.0,2024-11-27,Multi Leg Cross,Computer and Technology,Computer - Software,384.29,397.66,372.5,388.84,10,7.361682515967959,1,0,0,0,1
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241213C00430000,MSTR,C,430.0,2024-12-13,233,0,304,15.19,1733244381092000000,6000,9114000.0,2024-12-03,Multi Leg Auction,Computer and Technology,Computer - Software,367.85,393.1227,362.67,373.43,44,6.95970902424643,1,1,0,0,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241220P00320000,MSTR,P,320.0,2024-12-20,234,0,300,17.0,1733241576220000000,4000,6800000.0,2024-12-03,Multi Leg Cross,Computer and Technology,Computer - Software,367.85,393.1227,362.67,373.43,78,6.832508912706237,1,1,1,0,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241220P00320000,MSTR,P,320.0,2024-12-20,234,0,300,17.0,1733241442062000000,4000,6800000.0,2024-12-03,Multi Leg Cross,Computer and Technology,Computer - Software,367.85,393.1227,362.67,373.43,79,6.832508912706237,1,1,1,0,0
MSTR,Computer and Technology,Computer - Software,60__0,60,0.0,3. p9999_trade_value,5720000.0,22849420.0,O:MSTR241213C00420000,MSTR,C,420.0,2024-12-13,233,0,323,13.92,1733325459896000000,10000,13920000.0,2024-12-04,Multi Leg Auction,Computer and Technology,Computer - Software,380.0,409.97,365.6,406.0,21,7.143639235274543,1,1,0,0,0
