security,sector,industry,min_dte,max_dte,qualifying_trades,qualifying_trades_bin,p0_trade_value,p25_trade_value,p75_trade_value,iqr,trad_iqr_trade_value,n_range,pn_trade_value,custom_k,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
CDTX,Medical,Medical - Biomedical and Genetics,8,30,9,15,3300.0,4200.0,6000.0,1800.0,8700.0,0.9,8124.0,1.18,8124.0,9372.0,10370.4,10595.04,10617.5,10619.75,10619.98
CDW,Computer and Technology,Computers - IT Services,8,30,247,6,3010.0,3401.0,5610.0,2209.0,8923.5,0.9,9072.0,1.57,9072.0,12722.0,23351.0,382144.7,397764.47,399326.45,399482.64
CDXS,Medical,Medical - Biomedical and Genetics,17,30,2,18,3760.0,5300.0,8380.0,3080.0,13000.0,0.9,9304.0,0.3,9304.0,9612.0,9858.4,9913.84,9919.38,9919.94,9919.99
CDZI,Consumer Staples,Agriculture - Operations,24,24,4,17,3534.9999999999995,4168.75,5620.5,1451.75,7798.125,0.9,6748.2,0.78,6748.2,7124.1,7424.82,7492.48,7499.25,7499.92,7499.99
CE,Basic Materials,Chemical - Specialty,1,30,340,5,3030.0,3510.0,7842.5,4332.5,14341.25,0.9,17411.0,2.21,17411.0,33869.5,97962.95,1780545.9,2357764.59,2415486.46,2421258.65
CECO,Industrial Products,Pollution Control,25,25,1,19,3950.0,3950.0,3950.0,0.0,3950.0,0.9,3950.0,nan,3950.0,3950.0,3950.0,3950.0,3950.0,3950.0,3950.0
CEG,Oils-Energy,Alternative Energy - Other,1,30,19528,1,3002.9999999999995,3920.0,9440.0,5520.0,17720.0,0.9,18700.0,1.68,18700.0,29000.0,86499.16,533466.04,1301956.26,2629752.22,2853938.42
CELC,Medical,Medical - Biomedical and Genetics,9,9,1,20,14500.0,14500.0,14500.0,0.0,14500.0,0.9,14500.0,nan,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0
CELH,Consumer Staples,Food - Miscellaneous,1,30,11334,1,3002.0000000000005,3800.0,8089.5,4289.5,14523.75,0.9,14498.5,1.49,14498.5,21950.25,59612.82,271507.83,542614.68,860107.84,896010.78
CENT,Consumer Discretionary,Consumer Products - Discretionary,25,25,1,19,15000.0,15000.0,15000.0,0.0,15000.0,0.9,15000.0,nan,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
CENX,Industrial Products,Metal Products - Procurement and Fabrication,1,30,100,8,3045.0,3727.5,8833.75,5106.25,16493.125,0.9,24936.4,3.15,24936.4,35269.9,128849.9,137750.99,138641.1,138730.11,138739.01
CEP,Unclassified,Unclassified,1,30,1068,3,3002.9999999999995,3860.0,8721.25,4861.25,16013.125,0.9,18509.0,2.01,18509.0,29965.0,55966.2,86099.25,86544.79,86576.48,86579.65
CEPU,Oils-Energy,Alternative Energy - Other,22,24,2,18,3920.0000000000005,4440.0,5480.0,1040.0,7040.0,0.9,5792.0,0.3,5792.0,5896.0,5979.2,5997.92,5999.79,5999.98,6000.0
CERS,Medical,Medical - Products,18,18,1,19,3020.0000000000005,3020.0,3020.0,0.0,3020.0,0.9,3020.0,nan,3020.0,3020.0,3020.0,3020.0,3020.0,3020.0,3020.0
CERT,Medical,Medical - Biomedical and Genetics,3,30,9,15,3135.0,3520.0,7200.0,3680.0,12720.0,0.9,8461.0,0.34,8461.0,9883.0,11020.6,11276.56,11302.16,11304.72,11304.97
CEVA,Computer and Technology,Electronics - Semiconductors,10,30,7,15,3500.0,3622.5,4250.0,627.5,5191.25,0.9,4680.0,0.69,4680.0,4815.0,4923.0,4947.3,4949.73,4949.97,4950.0
CF,Basic Materials,Fertilizers,1,30,491,5,3009.0,3693.0,7775.0,4082.0,13898.0,0.9,17850.0,2.47,17850.0,28597.5,80307.0,298044.0,423464.4,436006.44,437260.64
CFG,Finance,Banks - Northeast,1,30,174,7,3026.0,3453.75,9968.0,6514.25,19739.375,0.9,27734.5,2.73,27734.5,38298.0,104970.43,116132.32,116157.23,116159.72,116159.97
CFLT,Computer and Technology,Internet - Software,1,30,1363,3,3002.0000000000005,3832.5,9000.0,5167.5,16751.25,0.9,16750.0,1.5,16750.0,27000.0,141649.96,398868.0,749606.0,794960.6,799496.06
CFR,Finance,Banks - Southwest,9,29,13,14,3040.0,3600.0,6150.0,2550.0,9975.0,0.9,7614.0,0.57,7614.0,9558.0,11631.6,12098.16,12144.82,12149.48,12149.95
CG,Finance,Financial - Investment Management,3,30,301,6,3025.0000000000005,3780.0,7000.0,3220.0,11830.0,0.9,13500.0,2.02,13500.0,20205.0,43890.0,384310.0,428401.0,432810.1,433251.01
CGAU,Basic Materials,Mining - Gold,25,25,1,19,3100.0,3100.0,3100.0,0.0,3100.0,0.9,3100.0,nan,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0
CGC,Medical,Medical - Products,1,30,249,6,3003.0,3400.0,5750.0,2350.0,9275.0,0.9,8913.6,1.35,8913.6,10440.0,25913.24,34016.0,35801.6,35980.16,35998.02
CGEM,Medical,Medical - Biomedical and Genetics,21,24,4,16,3200.0,4550.0,48000.0,43450.0,113175.0,0.9,107400.0,1.37,107400.0,127200.0,143040.0,146604.0,146960.4,146996.04,146999.6
CGEN,Medical,Medical - Biomedical and Genetics,25,30,10,15,3450.0,5550.0,7425.0,1875.0,10237.5,0.9,8027.4,0.32,8027.4,10238.7,12007.74,12405.77,12445.58,12449.56,12449.96
CGNT,Computer and Technology,Internet - Software,6,16,16,13,3140.0,4306.25,26880.0,22573.75,60740.625,0.9,32880.0,0.27,32880.0,37912.5,39982.5,40448.25,40494.83,40499.48,40499.95
CGNX,Computer and Technology,Electronics - Testing Equipment,9,28,9,15,3300.0,3375.0,5520.0,2145.0,8737.5,0.9,7416.0,0.88,7416.0,8388.0,9165.6,9340.56,9358.06,9359.81,9359.98
CGON,Medical,Medical - Biomedical and Genetics,3,30,77,9,3120.0,4080.0,9000.0,4920.0,16380.0,0.9,14832.0,1.19,14832.0,28652.0,265200.0,422520.0,438252.0,439825.2,439982.52
CHCT,Finance,REIT and Equity Trust - Other,8,27,7,15,3600.0,5155.0,7500.0,2345.0,11017.5,0.9,8400.0,0.38,8400.0,8700.0,8940.0,8994.0,8999.4,8999.94,8999.99
CHD,Consumer Staples,Consumer Products - Staples,4,30,186,7,3002.0000000000005,3513.75,7437.5,3923.75,13323.125,0.9,19575.0,3.09,19575.0,34400.0,162505.75,255444.42,264584.44,265498.44,265589.84
CHDN,Consumer Discretionary,Gaming,8,29,32,11,3040.0,4368.75,13185.0,8816.25,26409.375,0.9,17500.0,0.49,17500.0,145575.0,206700.0,215070.0,215907.0,215990.7,215999.07
CHE,Medical,Medical - Outpatient and Home Healthcare,17,29,57,10,3004.0,3094.0,6195.0,3101.0,10846.5,0.9,10020.4,1.23,10020.4,13805.6,28918.36,38226.74,39157.57,39250.66,39259.97
CHEF,Consumer Staples,Food - Miscellaneous,10,30,19,13,3024.0,3440.0,8013.0,4573.0,14872.5,0.9,37750.0,6.5,37750.0,40633.5,54194.7,57245.97,57551.1,57581.61,57584.66
CHGG,Computer and Technology,Internet - Software,3,25,26,12,3075.0,3821.25,7497.5,3676.25,13011.875,0.9,12072.5,1.24,12072.5,14875.0,16267.5,16647.75,16685.77,16689.58,16689.96
CHH,Consumer Discretionary,Hotels and Motels,23,23,2,18,3083.9999999999995,3148.25,3276.75,128.5,3469.5,0.9,3315.3,0.3,3315.3,3328.15,3338.43,3340.74,3340.97,3341.0,3341.0
CHKP,Computer and Technology,Security,1,29,205,7,3060.0,3740.0,8750.0,5010.0,16265.0,0.9,15422.0,1.33,15422.0,24744.0,62240.0,223880.04,256559.0,259826.9,260153.69
CHPT,Auto-Tires-Trucks,Automotive - Original Equipment,1,30,97,8,3031.0,4140.0,30000.0,25860.0,68790.0,0.9,100000.0,2.71,100000.0,153000.0,401280.0,428928.0,431692.8,431969.28,431996.93
CHRD,Oils-Energy,Oil and Gas - Exploration and Production - United States,4,30,65,9,3072.0,3555.0,5250.0,1695.0,7792.5,0.9,7105.0,1.09,7105.0,18000.0,64800.0,82080.0,83808.0,83980.8,83998.08
CHRS,Medical,Medical - Biomedical and Genetics,11,30,13,14,3200.0,3960.0,5535.0,1575.0,7897.5,0.9,9642.0,2.61,9642.0,11904.0,14380.8,14938.08,14993.81,14999.38,14999.94
CHRW,Transportation,Transportation - Services,3,30,267,6,3025.0000000000005,3887.0,8212.5,4325.5,14700.75,0.9,22491.0,3.3,22491.0,35418.0,197586.0,670720.0,809572.0,823457.2,824845.72
CHTR,Consumer Discretionary,Cable Television,1,30,1899,3,3006.0,3800.0,8600.0,4800.0,15800.0,0.9,16798.0,1.71,16798.0,25380.0,70690.4,230739.84,412980.3,426048.03,427354.8
CHWY,Retail-Wholesale,Internet - Commerce,1,30,3802,2,3002.0,3640.0,8347.5,4707.5,15408.75,0.9,16440.0,1.72,16440.0,27701.8,109692.9,329975.67,435961.72,457596.17,459759.62
CHX,Construction,Engineering - R and D Services,24,24,1,20,3375.0,3375.0,3375.0,0.0,3375.0,0.9,3375.0,nan,3375.0,3375.0,3375.0,3375.0,3375.0,3375.0,3375.0
CI,Medical,Medical - HMOs,1,30,2474,2,3003.0,3750.0,9000.0,5250.0,16875.0,0.9,17375.7,1.6,17375.7,26896.0,69139.3,360793.84,500216.0,518021.6,519802.16
CIA,Finance,Insurance - Life Insurance,16,16,1,20,3240.0,3240.0,3240.0,0.0,3240.0,0.9,3240.0,nan,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0
CIEN,Computer and Technology,Communication - Components,2,30,1164,3,3013.0000000000005,3878.75,8550.0,4671.25,15556.875,0.9,16005.6,1.6,16005.6,24969.25,98724.0,217300.82,373244.27,391447.43,393267.74
CIFR,Business Services,Technology Services,1,30,549,4,3010.0,3876.0,7560.0,3684.0,13086.0,0.9,14414.4,1.86,14414.4,22224.0,110826.8,479100.0,565410.0,574041.0,574904.1
CIGI,Finance,Real Estate - Operations,24,24,1,20,4800.0,4800.0,4800.0,0.0,4800.0,0.9,4800.0,nan,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
CIM,Finance,REIT and Equity Trust,7,30,21,13,3100.0,4150.0,14325.0,10175.0,29587.5,0.9,33000.0,1.84,33000.0,34000.0,54800.0,59480.0,59948.0,59994.8,59999.48
CINF,Finance,Insurance - Property and Casualty,7,30,41,11,3060.0,3995.0,7200.0,3205.0,12007.5,0.9,11600.0,1.37,11600.0,38000.0,252574.0,266214.4,267578.44,267714.84,267728.48
CIVI,Oils-Energy,Oil and Gas - Exploration and Production - United States,2,30,165,7,3060.0,3750.0,15540.0,11790.0,33225.0,0.9,42096.0,2.25,42096.0,46000.0,128256.0,262643.27,264946.13,265176.41,265199.44
CL,Consumer Staples,Consumer Products - Staples,1,30,694,4,3013.0000000000005,3646.25,7307.5,3661.25,12799.375,0.9,13615.0,1.72,13615.0,17535.0,51342.65,535070.01,843446.0,874283.6,877367.36
CLB,Oils-Energy,Oil and Gas - Field Services,24,29,3,17,3915.0,3937.5,19380.0,15442.5,42543.75,0.9,28632.0,0.6,28632.0,31716.0,34183.2,34738.32,34793.83,34799.38,34799.94
CLBK,Finance,Financial - Miscellaneous Services,16,16,1,20,24000.0,24000.0,24000.0,0.0,24000.0,0.9,24000.0,nan,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0
CLBR,Unclassified,Unclassified,3,30,546,4,3014.0,3916.25,8695.0,4778.75,15863.125,0.9,15920.0,1.51,15920.0,20838.75,42120.0,238675.0,280367.5,284536.75,284953.68
CLBT,Computer and Technology,Internet - Software,2,29,132,8,3030.0,3673.75,7928.75,4255.0,14311.25,0.9,12486.0,1.07,12486.0,44024.4,76108.2,315144.38,346154.44,349255.44,349565.54
CLDX,Medical,Medical - Biomedical and Genetics,3,30,65,9,3080.0000000000005,3944.0,9000.0,5056.0,16584.0,0.9,18909.2,1.96,18909.2,68912.0,165220.0,173572.0,174407.2,174490.72,174499.07
CLF,Basic Materials,Steel - Producers,1,30,1950,3,3003.0,3690.0,7902.0,4212.0,14220.0,0.9,14004.0,1.45,14004.0,22675.3,59665.76,125878.01,238987.64,263298.76,265729.88
CLFD,Computer and Technology,Wireless Equipment,8,30,16,13,3160.0,3550.0,8431.5,4881.5,15753.75,0.9,9450.0,0.21,9450.0,12860.0,19724.0,21268.4,21422.84,21438.28,21439.83
CLH,Business Services,Waste Removal Services,8,30,147,7,3016.0,3515.0,6270.0,2755.0,10402.5,0.9,11280.0,1.82,11280.0,23295.0,68927.2,76611.6,77321.16,77392.12,77399.21
CLMT,Oils-Energy,Oil and Gas - Integrated - United States,1,30,740,4,3016.0,4000.0,9000.0,5000.0,16500.0,0.9,17986.5,1.8,17986.5,39762.5,163341.48,440000.0,440000.0,440000.0,440000.0
CLOV,Medical,Medical Info Systems,1,30,339,5,3003.0,3605.0,6340.0,2735.0,10442.5,0.9,10003.4,1.34,10003.4,12815.4,20182.9,35939.92,39377.99,39721.8,39756.18
CLPT,Medical,Medical - Instruments,16,28,21,13,3160.0,4200.0,11205.0,7005.0,21712.5,0.9,17000.0,0.83,17000.0,29250.0,31450.0,31945.0,31994.5,31999.45,31999.95
CLS,Computer and Technology,Electronics - Manufacturing Services,1,30,5654,2,3002.0000000000005,3910.0,8569.5,4659.5,15558.75,0.9,16994.9,1.81,16994.9,26880.75,102264.45,766597.94,1115153.89,1205015.39,1214001.54
CLSD,Medical,Medical - Biomedical and Genetics,9,30,11,14,3700.0,4344.0,7076.0,2732.0,11174.0,0.9,7470.0,0.14,7470.0,7485.0,7497.0,7499.7,7499.97,7500.0,7500.0
CLSK,Finance,Financial - Miscellaneous Services,1,30,10491,1,3002.0,3740.0,7700.0,3960.0,13640.0,0.9,13461.0,1.45,13461.0,20259.5,46334.4,142565.48,205077.46,314913.53,326475.35
CLW,Basic Materials,Paper and Related Products,4,30,108,8,3074.9999999999995,4289.5,12500.0,8210.5,24815.75,0.9,46500.0,4.14,46500.0,72000.0,130939.2,139237.47,139698.75,139744.87,139749.49
CLX,Consumer Staples,Consumer Products - Staples,1,30,766,4,3010.0,3780.0,9285.0,5505.0,17542.5,0.9,22325.0,2.37,22325.0,35105.0,145600.0,280875.0,298087.5,299808.75,299980.88
CM,Finance,Banks - Foreign,3,30,140,8,3079.9999999999995,3581.5,6371.25,2789.75,10555.875,0.9,9173.5,1.0,9173.5,11137.5,19980.5,21028.89,21178.39,21193.34,21194.83
CMA,Finance,Banks - Major Regional,1,30,443,5,3040.0,3990.0,9750.0,5760.0,18390.0,0.9,20704.4,1.9,20704.4,33848.0,115800.0,252320.0,268232.0,269823.2,269982.32
CMBT,Transportation,Transportation - Shipping,29,29,1,20,3250.0,3250.0,3250.0,0.0,3250.0,0.9,3250.0,nan,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0
CMC,Basic Materials,Steel - Producers,4,30,46,10,3105.0,3505.0,9131.25,5626.25,17570.625,0.9,20550.5,2.03,20550.5,75900.0,106587.0,111908.7,112440.87,112494.09,112499.41
CMCL,Basic Materials,Mining - Gold,25,30,3,17,5000.0,5000.0,5200.0,200.0,5500.0,0.9,5320.0,0.6,5320.0,5360.0,5392.0,5399.2,5399.92,5399.99,5400.0
CMCM,Computer and Technology,Internet - Software,30,30,2,18,3500.0,3500.0,3500.0,0.0,3500.0,0.9,3500.0,nan,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
CMCO,Industrial Products,Manufacturing - Material Handling,25,25,1,19,5360.0,5360.0,5360.0,0.0,5360.0,0.9,5360.0,nan,5360.0,5360.0,5360.0,5360.0,5360.0,5360.0,5360.0
CMCSA,Consumer Discretionary,Cable Television,1,30,1131,3,3003.0,3740.0,8808.0,5068.0,16410.0,0.9,20000.0,2.21,20000.0,32501.5,93000.0,1047570.0,1618980.0,1673898.0,1679389.8
CMCT,Finance,REIT and Equity Trust - Other,8,8,2,18,4630.0,5230.0,6430.0,1200.0,8230.0,0.9,6790.0,0.3,6790.0,6910.0,7006.0,7027.6,7029.76,7029.98,7030.0
CME,Finance,Securities and Exchanges,1,30,885,4,3006.0,3780.0,9125.0,5345.0,17142.5,0.9,16480.0,1.38,16480.0,25562.0,40641.68,333000.0,333000.0,333000.0,333000.0
CMG,Retail-Wholesale,Retail - Restaurants,1,30,6604,2,3002.0,3750.0,7921.25,4171.25,14178.125,0.9,14898.5,1.67,14898.5,23843.7,83179.0,461542.98,706466.38,822742.44,834370.04
CMI,Auto-Tires-Trucks,Automotive - Internal Combustion Engines,1,30,287,6,3015.0,3608.0,8160.0,4552.0,14988.0,0.9,21436.0,2.92,21436.0,35616.0,108140.0,308990.99,372449.1,378794.91,379429.49
CMP,Basic Materials,Chemical - Diversified ,4,29,22,12,3125.0,3750.0,16488.75,12738.75,35596.875,0.9,23658.0,0.56,23658.0,37414.0,124893.6,145653.36,147729.34,147936.93,147957.69
CMPO,Business Services,Financial Transaction Services,8,28,42,11,3100.0,4223.75,11357.5,7133.75,22058.125,0.9,14170.0,0.39,14170.0,14342.9,291838.32,463883.83,481088.38,482808.84,482980.88
CMPR,Consumer Discretionary,Consumer Services - Miscellaneous,11,29,20,13,3300.0,4350.0,8787.5,4437.5,15443.75,0.9,13986.9,1.17,13986.9,31299.8,31539.96,31594.0,31599.4,31599.94,31599.99
CMPS,Medical,Medical Services,11,25,9,15,3140.0,3600.0,4500.0,900.0,5850.0,0.9,11023.0,7.25,11023.0,11069.0,11105.8,11114.08,11114.91,11114.99,11115.0
CMPX,Medical,Medical - Biomedical and Genetics,4,30,68,9,3110.0,3744.0,10377.0,6633.0,20326.5,0.9,18868.0,1.28,18868.0,69340.5,191155.3,221251.03,224260.6,224561.56,224591.66
CMS,Utilities,Utility - Electric Power,22,30,47,10,3150.0,3780.0,9975.0,6195.0,19267.5,0.9,23628.0,2.2,23628.0,25910.5,84744.02,106484.4,108658.44,108875.84,108897.58
CMTL,Computer and Technology,Wireless Equipment,11,25,27,12,3015.0,3675.0,6181.0,2506.0,9940.0,0.9,11862.0,2.27,11862.0,13284.0,18310.0,19831.0,19983.1,19998.31,19999.83
CNA,Finance,Insurance - Property and Casualty,14,14,2,18,13000.0,18750.0,30250.0,11500.0,47500.0,0.9,33700.0,0.3,33700.0,34850.0,35770.0,35977.0,35997.7,35999.77,35999.98
CNC,Medical,Medical - HMOs,1,30,1278,3,3010.0,3780.0,8200.0,4420.0,14830.0,0.9,15000.0,1.54,15000.0,33460.75,141841.4,291253.5,360801.09,369800.11,370700.01
CNDT,Business Services,Outsourcing,11,28,7,15,3360.0,4577.5,10037.5,5460.0,18227.5,0.9,12485.0,0.45,12485.0,12492.5,12498.5,12499.85,12499.98,12500.0,12500.0
CNH,Industrial Products,Manufacturing - Farm Equipment,7,30,7,15,3120.0,3300.0,15615.0,12315.0,34087.5,0.9,35840.0,1.64,35840.0,42920.0,48584.0,49858.4,49985.84,49998.58,49999.86
CNI,Transportation,Transportation - Rail,8,30,54,10,3040.0,3750.0,6435.0,2685.0,10462.5,0.9,10168.2,1.39,10168.2,12403.25,35894.15,53039.92,54754.49,54925.95,54943.09
CNK,Consumer Discretionary,Film and Television Production and Distribution,1,30,111,8,3025.0000000000005,4340.0,12484.5,8144.5,24701.25,0.9,115600.0,12.66,115600.0,166250.0,359000.0,395457.6,399401.76,399796.18,399835.62
CNM,Industrial Products,Manufacturing - Tools & Related Products,2,30,371,5,3040.0,3775.0,12510.0,8735.0,25612.5,0.9,41030.0,3.27,41030.0,82600.0,205796.2,465931.26,562968.13,572671.81,573642.18
CNMD,Medical,Medical - Dental Supplies,8,29,67,9,3178.0,3775.0,6192.5,2417.5,9818.75,0.9,14053.2,3.25,14053.2,90382.0,229920.0,282192.0,287419.2,287941.92,287994.19
CNNE,Finance,Financial - Investment Management,29,29,1,20,45500.0,45500.0,45500.0,0.0,45500.0,0.9,45500.0,nan,45500.0,45500.0,45500.0,45500.0,45500.0,45500.0,45500.0
CNO,Finance,Insurance - Multi line,8,22,2,18,4350.0,7762.5,14587.5,6825.0,24825.0,0.9,16635.0,0.3,16635.0,17317.5,17863.5,17986.35,17998.64,17999.86,17999.99
CNP,Utilities,Utility - Electric Power,1,30,35,11,3375.0,3760.0,9425.0,5665.0,17922.5,0.9,19531.8,1.78,19531.8,30000.0,37583.4,41099.34,41450.93,41486.09,41489.61
CNQ,Oils-Energy,Oil and Gas - Exploration and Production - Canadian,1,30,149,7,3010.0,3800.0,7470.0,3670.0,12975.0,0.9,13200.0,1.56,13200.0,18085.0,34031.2,52457.68,55033.77,55291.38,55317.14
CNR,Oils-Energy,Coal,2,30,64,9,3100.0,4353.75,6500.0,2146.25,9719.375,0.9,24262.5,8.28,24262.5,65297.0,104055.0,104905.5,104990.55,104999.06,104999.91
CNTA,Medical,Medical - Drugs,3,30,114,8,3060.0,4704.75,15000.0,10295.25,30442.875,0.9,33004.0,1.75,33004.0,77940.0,471195.0,589830.0,598983.0,599898.3,599989.83
CNX,Oils-Energy,Oil and Gas - Exploration and Production - United States,2,30,130,8,3025.0000000000005,4327.5,8625.0,4297.5,15071.25,0.9,23826.5,3.54,23826.5,92750.0,249275.0,345810.0,358581.0,359858.1,359985.81
CNXC,Business Services,Business - Services,1,30,101,8,3025.0,3900.0,9594.0,5694.0,18135.0,0.9,16850.0,1.27,16850.0,21600.0,40320.0,50762.7,51806.97,51911.4,51921.84
CNXN,Retail-Wholesale,Retail - Computer Hardware,24,30,2,18,3700.0,5455.0,8965.0,3510.0,14230.0,0.9,10018.0,0.3,10018.0,10369.0,10649.8,10712.98,10719.3,10719.93,10719.99
COCO,Consumer Staples,Beverages - Soft drinks,7,23,6,16,3300.0,5130.0,8600.0,3470.0,13805.0,0.9,12525.0,1.13,12525.0,14137.5,15427.5,15717.75,15746.78,15749.68,15749.97
COF,Finance,Financial - Consumer Loans,1,30,5515,2,3008.0,3835.0,9000.0,5165.0,16747.5,0.9,18240.0,1.79,18240.0,33000.0,138249.04,659797.08,3356793.35,3972741.33,4034336.13
COGT,Medical,Medical - Biomedical and Genetics,8,30,14,14,4300.0,5212.5,11113.75,5901.25,19965.625,0.9,13620.0,0.42,13620.0,16378.0,20475.6,21397.56,21489.76,21498.98,21499.9
COHR,Business Services,Technology Services,1,30,3325,2,3003.0,3840.0,8990.0,5150.0,16715.0,0.9,19216.0,1.99,19216.0,32227.0,128102.56,608264.72,1150455.0,1296295.5,1310879.55
COHU,Computer and Technology,Electronics - Manufacturing Machinery,8,8,1,20,5445.0,5445.0,5445.0,0.0,5445.0,0.9,5445.0,nan,5445.0,5445.0,5445.0,5445.0,5445.0,5445.0,5445.0
COIN,Finance,Financial - Miscellaneous Services,1,30,275846,1,3002.0,3900.0,9393.0,5493.0,17632.5,0.9,18480.0,1.65,18480.0,30675.0,104300.0,1688297.14,6577839.72,13208791.49,16797674.99
COLB,Finance,Banks - West,8,29,3,17,3185.0,3467.5,5075.0,1607.5,7486.25,0.9,5870.0,0.49,5870.0,6135.0,6347.0,6394.7,6399.47,6399.95,6399.99
COLD,Finance,REIT and Equity Trust - Other,11,15,3,17,4000.0,4250.0,9697.5,5447.5,17868.75,0.9,12816.0,0.57,12816.0,13855.5,14687.1,14874.21,14892.92,14894.79,14894.98
COLL,Medical,Medical - Drugs,25,25,1,20,7200.0,7200.0,7200.0,0.0,7200.0,0.9,7200.0,nan,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0,7200.0
COLM,Consumer Discretionary,Textile - Apparel,15,28,21,13,3025.0,3400.0,5670.0,2270.0,9075.0,0.9,12250.0,2.9,12250.0,12505.0,14101.0,14460.1,14496.01,14499.6,14499.96
COMM,Computer and Technology,Communication - Infrastructure,4,30,96,8,3090.0,3995.0,7756.25,3761.25,13398.125,0.9,10170.0,0.64,10170.0,17882.5,28147.7,35187.77,35891.78,35962.18,35969.22
COMP,Computer and Technology,Internet - Software,1,30,83,9,3025.0,4000.0,7275.0,3275.0,12187.5,0.9,13242.0,1.82,13242.0,19500.0,72244.8,74724.48,74972.45,74997.24,74999.72
COO,Medical,Medical - Dental Supplies,9,30,138,8,3024.0,3894.0,10750.0,6856.0,21034.0,0.9,27848.1,2.49,27848.1,58443.6,84115.0,137311.82,144357.18,145061.72,145132.17
COOP,Finance,Financial - Consumer Loans,2,30,96,8,3040.0,4095.0,8667.5,4572.5,15526.25,0.9,10710.0,0.45,10710.0,17867.5,25386.0,74736.6,79671.66,80165.17,80214.52
COP,Oils-Energy,Oil and Gas - Integrated - United States,1,30,2536,2,3002.0000000000005,3738.75,8126.25,4387.5,14707.5,0.9,16138.5,1.83,16138.5,24961.0,95566.8,341875.41,540150.08,567457.81,570188.58
COR,Medical,Medical Services,2,30,899,4,3006.0,3850.0,7250.0,3400.0,12350.0,0.9,10620.6,0.99,10620.6,17158.0,93875.0,167221.8,180072.18,181357.22,181485.72
CORT,Medical,Medical - Drugs,2,30,816,4,3015.9999999999995,3630.0,9248.5,5618.5,17676.25,0.9,21625.0,2.2,21625.0,47340.0,246533.6,509500.0,1022950.0,1074295.0,1079429.5
CORZ,Finance,Financial - Miscellaneous Services,1,30,5658,2,3002.0,3900.0,8804.5,4904.5,16161.25,0.9,16375.6,1.54,16375.6,29931.75,96790.9,536106.21,1148576.81,1346232.28,1365997.83
COST,Retail-Wholesale,Retail - Discount Stores,1,30,80892,1,3002.0,3815.0,8550.0,4735.0,15652.5,0.9,15725.4,1.52,15725.4,24360.0,66454.3,254823.23,770661.31,1199451.24,1273557.02
COTY,Consumer Staples,Cosmetics,11,22,7,15,3600.0,3870.0,5895.0,2025.0,8932.5,0.9,8592.0,1.33,8592.0,10296.0,11659.2,11965.92,11996.59,11999.66,11999.97
COUR,Business Services,Technology Services,2,30,60,10,3168.0,4130.0,7946.25,3816.25,13670.625,0.9,10800.1,0.75,10800.1,15636.5,28908.45,43269.35,44705.43,44849.04,44863.4
CP,Transportation,Transportation - Rail,2,30,321,5,3024.0,3870.0,6030.0,2160.0,9270.0,0.9,12210.0,2.86,12210.0,30096.0,134007.2,585871.0,647524.6,653689.96,654306.5
CPA,Transportation,Transportation - Airline,3,30,65,9,3045.0,3680.0,6705.0,3025.0,11242.5,0.9,11210.4,1.49,11210.4,15266.0,30198.4,52915.84,55187.58,55414.76,55437.48
CPAY,Business Services,Financial Transaction Services,2,30,290,6,3004.0,3231.75,4818.75,1587.0,7199.25,0.9,8696.5,2.44,8696.5,10827.0,27035.0,119153.1,135305.31,136920.53,137082.05
CPB,Consumer Staples,Food - Miscellaneous,2,30,205,7,3040.0,3700.0,7770.0,4070.0,13875.0,0.9,20420.0,3.11,20420.0,40351.2,138898.88,278006.81,309108.28,312218.43,312529.44
CPF,Finance,Banks - West,24,24,1,20,11250.0,11250.0,11250.0,0.0,11250.0,0.9,11250.0,nan,11250.0,11250.0,11250.0,11250.0,11250.0,11250.0,11250.0
CPIX,Medical,Medical - Drugs,16,30,9,15,3675.0,4260.0,11625.0,7365.0,22672.5,0.9,12372.0,0.1,12372.0,12936.0,13387.2,13488.72,13498.87,13499.89,13499.99
CPNG,Retail-Wholesale,Internet - Commerce,1,30,821,4,3010.0,3663.0,7600.0,3937.0,13505.5,0.9,12000.0,1.12,12000.0,18810.0,65860.0,148249.8,305598.78,321333.68,322907.17
CPRI,Retail-Wholesale,Retail - Apparel and Shoes,1,30,2973,2,3004.0,3800.0,8820.0,5020.0,16350.0,0.9,18758.0,1.98,18758.0,36760.0,275600.0,930000.0,2300000.0,2300000.0,2300000.0
CPRT,Business Services,Auction and Valuation Services,2,30,196,7,3040.0,3507.5,7000.0,3492.5,12238.75,0.9,12932.0,1.7,12932.0,20980.0,82147.45,284452.88,325445.29,329544.53,329954.45
