security,sector,industry,num_trades,trade_volume_bin,trade_volume_bin_rank,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value,cluster,final_cluster
AIRG,Computer and Technology,Communication - Components,1,0,3,8680.0,8680.0,8680.0,8680.0,8680.0,8680.0,0.0,0__0
AIRS,Business Services,Technology Services,1,0,3,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,0.0,0__0
AISP,Business Services,Technology Services,92,20,2,11496.75,19439.7,21347.97,21538.8,21557.88,21559.79,0.0,20__0
AIT,Industrial Products,Manufacturing - General Industrial ,58,20,2,13117.5,21763.0,23866.3,24076.63,24097.66,24099.77,0.0,20__0
AIZ,Finance,Insurance - Multi line,4,5,3,13779.0,15139.8,15445.98,15476.6,15479.66,15479.97,3.0,5__3
AJG,Finance,Insurance - Brokerage,642,30,2,14865.6,39356.55,101275.75,103727.58,103972.76,103997.28,2.0,30__2
AKAM,Computer and Technology,Internet - Services,1416,30,2,25425.0,124251.0,884902.5,1170342.0,1202434.2,1205643.42,0.0,30__0
AKBA,Medical,Medical - Drugs,1,0,3,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,2.0,0__2
AKR,Finance,REIT and Equity Trust - Retail,1,0,3,5824.0,5824.0,5824.0,5824.0,5824.0,5824.0,2.0,0__2
AKRO,Medical,Medical - Biomedical and Genetics,395,25,2,20500.0,46367.2,463006.62,661477.66,681324.77,683309.48,0.0,25__0
AL,Transportation,Transportation - Equipment and Leasing,26,15,3,11062.5,14875.0,15887.5,15988.75,15998.88,15999.89,0.0,15__0
ALAB,Computer and Technology,Internet - Software,10318,40,2,27000.0,104668.15,697633.33,1697660.0,3403977.0,3580397.7,1.0,40__1
ALB,Basic Materials,Chemical - Diversified ,3014,35,2,24420.0,67892.05,334102.67,532797.92,580456.59,585222.46,0.0,35__0
ALC,Medical,Medical - Instruments,252,25,2,87300.0,221115.0,337051.3,342405.13,342940.51,342994.05,2.0,25__2
ALDX,Medical,Medical - Drugs,37,15,3,16005.0,39623.08,50152.11,51205.01,51310.3,51320.83,0.0,15__0
ALEC,Medical,Medical - Biomedical and Genetics,24,15,3,9568.25,48464.35,58846.44,59884.64,59988.46,59998.85,0.0,15__0
ALEX,Finance,REIT and Equity Trust - Other,1,0,3,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,0.0,0__0
ALGM,Computer and Technology,Electronics - Semiconductors,317,25,2,22636.0,80884.8,660780.0,673578.0,674857.8,674985.78,0.0,25__0
ALGN,Medical,Medical - Dental Supplies,1815,35,2,23992.5,65006.04,266770.32,603622.73,667862.27,674286.23,0.0,35__0
ALGS,Medical,Medical - Biomedical and Genetics,1,0,3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,0__2
ALGT,Transportation,Transportation - Airline,63,20,2,25956.0,35995.6,37457.56,37603.76,37618.38,37619.84,0.0,20__0
ALHC,Medical,Medical Services,70,20,2,157247.3,266164.6,434244.46,451052.45,452733.24,452901.32,1.0,20__1
ALIT,Computer and Technology,Internet - Software,76,20,2,26246.25,59375.0,118437.5,124343.75,124934.38,124993.44,0.0,20__0
ALK,Transportation,Transportation - Airline,703,30,2,38152.5,386346.4,1165234.0,1691523.4,1744152.34,1749415.23,1.0,30__1
ALKS,Medical,Medical - Biomedical and Genetics,49,15,3,90896.0,129584.0,137446.4,138232.64,138311.26,138319.13,0.0,15__0
ALKT,Computer and Technology,Internet - Software,53,15,3,15078.0,48408.0,75715.8,78446.58,78719.66,78746.97,0.0,15__0
ALL,Finance,Insurance - Property and Casualty,531,25,2,27775.0,77802.5,253900.0,287290.0,290629.0,290962.9,0.0,25__0
ALLE,Industrial Products,Security and Safety Services,6,10,3,7130.0,7858.0,8021.8,8038.18,8039.82,8039.98,0.0,10__0
ALLO,Medical,Medical - Biomedical and Genetics,10,10,3,19941.9,22324.38,22860.44,22914.04,22919.4,22919.94,0.0,10__0
ALLT,Business Services,Technology Services,19,15,3,11321.4,13304.28,13750.43,13795.04,13799.5,13799.95,0.0,15__0
ALLY,Finance,Financial - Consumer Loans,766,30,2,33816.0,132624.8,279480.0,395148.0,406714.8,407871.48,2.0,30__2
ALNY,Medical,Medical - Biomedical and Genetics,1086,30,2,30474.0,93454.65,518925.0,1094501.25,1154800.13,1160830.01,0.0,30__0
ALRM,Industrial Products,Security and Safety Services,14,10,3,43225.0,45045.0,45454.5,45495.45,45499.55,45499.95,0.0,10__0
ALSN,Auto-Tires-Trucks,Automotive - Original Equipment,26,15,3,38625.0,55500.0,59550.0,59955.0,59995.5,59999.55,0.0,15__0
ALT,Medical,Medical - Drugs,598,30,2,17248.0,41890.0,270206.7,457670.67,476417.07,478291.71,2.0,30__2
ALTG,Industrial Products,Manufacturing - General Industrial ,2,5,3,10107.25,10281.45,10320.64,10324.56,10324.96,10325.0,0.0,5__0
ALTO,Consumer Discretionary,Consumer Products - Discretionary,2,5,3,7249.2,7413.84,7450.88,7454.59,7454.96,7455.0,0.0,5__0
ALTS,Finance,Financial - Miscellaneous Services,17,10,3,9840.0,9968.0,9996.8,9999.68,9999.97,10000.0,0.0,10__0
ALUR,Medical,Medical - Products,2,5,3,4785.0,4797.0,4799.7,4799.97,4800.0,4800.0,0.0,5__0
ALV,Auto-Tires-Trucks,Automotive - Original Equipment,14,10,3,9157.5,11731.5,12310.65,12368.56,12374.36,12374.94,0.0,10__0
ALXO,Medical,Medical - Biomedical and Genetics,4,5,3,4975.0,4975.0,4975.0,4975.0,4975.0,4975.0,0.0,5__0
AM,Oils-Energy,Oil and Gas - Integrated - United States,8,10,3,7000.75,7800.15,7980.02,7998.0,7999.8,7999.98,0.0,10__0
AMAT,Computer and Technology,Electronics - Semiconductors,14452,40,2,24711.2,76269.87,211351.97,725460.02,993056.25,1003805.62,0.0,40__0
AMBA,Computer and Technology,Electronics - Semiconductors,541,25,2,18467.0,31000.0,307128.0,482962.8,500546.28,502304.63,0.0,25__0
AMBC,Finance,Insurance - Property and Casualty,45,15,3,90024.0,197470.0,199747.0,199974.7,199997.47,199999.75,0.0,15__0
AMBR,Business Services,Technology Services,1,0,3,20475.0,20475.0,20475.0,20475.0,20475.0,20475.0,0.0,0__0
AMC,Consumer Discretionary,Leisure and Recreation Services,2193,35,2,13410.0,25194.24,61588.54,83482.05,88664.21,89182.42,0.0,35__0
AMCR,Industrial Products,Containers - Paper and Packaging,8,10,3,10323.6,11539.92,11813.59,11840.96,11843.7,11843.97,0.0,10__0
AMCX,Consumer Discretionary,Broadcast Radio and Television,7,10,3,6623.0,7124.6,7237.46,7248.75,7249.87,7249.99,0.0,10__0
AMD,Computer and Technology,Computer - Integrated Systems,231067,55,1,23114.1,60060.0,324934.0,1160726.19,1920292.38,2575328.53,0.0,55__0
AME,Computer and Technology,Electronics - Testing Equipment,93,20,2,53320.0,107172.0,107917.2,107991.72,107999.17,107999.92,0.0,20__0
AMED,Medical,Medical - Outpatient and Home Healthcare,30,15,3,63750.0,75000.0,75000.0,75000.0,75000.0,75000.0,0.0,15__0
AMG,Finance,Financial - Investment Management,3,5,3,9033.0,9406.6,9490.66,9499.07,9499.91,9499.99,0.0,5__0
AMGN,Medical,Medical - Biomedical and Genetics,8313,40,2,26578.4,79387.2,433668.0,963091.98,1246245.5,1274560.85,0.0,40__0
AMH,Finance,REIT and Equity Trust - Residential,1,0,3,3680.0,3680.0,3680.0,3680.0,3680.0,3680.0,2.0,0__2
AMKR,Computer and Technology,Electronics - Semiconductors,96,20,2,33208.75,277180.0,311038.0,314423.8,314762.38,314796.24,3.0,20__3
AMLX,Medical,Medical - Drugs,2,5,3,4488.75,4537.75,4548.77,4549.88,4549.99,4550.0,0.0,5__0
AMN,Medical,Medical Services,52,15,3,16799.4,30192.19,36724.22,37377.42,37442.74,37449.27,0.0,15__0
AMP,Finance,Financial - Investment Management,187,25,2,16575.0,28271.6,32430.84,32943.08,32994.31,32999.43,0.0,25__0
AMPL,Business Services,Technology Services,41,15,3,14520.0,96000.0,144600.0,149460.0,149946.0,149994.6,0.0,15__0
AMPX,Business Services,Technology Services,44,15,3,10152.0,13868.7,16155.87,16384.59,16407.46,16409.75,0.0,15__0
AMPY,Oils-Energy,Oil and Gas - Exploration and Production - United States,4,5,3,37048.65,41009.73,41900.97,41990.1,41999.01,41999.9,1.0,5__1
AMR,Basic Materials,Mining - Miscellaneous,391,25,2,15000.0,29001.6,35415.0,35941.5,35994.15,35999.41,0.0,25__0
AMRC,Oils-Energy,Alternative Energy - Other,18,15,3,17406.0,32461.2,35848.62,36187.36,36221.24,36224.62,0.0,15__0
AMRK,Consumer Discretionary,Precious Metals and Jewels,87,20,2,15850.0,31743.6,63856.86,67068.19,67389.32,67421.43,0.0,20__0
AMRN,Medical,Medical - Biomedical and Genetics,3,5,3,8170.5,8534.1,8615.91,8624.09,8624.91,8624.99,0.0,5__0
AMRX,Medical,Medical - Drugs,15,10,3,44016.0,91375.2,102031.02,103096.6,103203.16,103213.82,2.0,10__2
AMSC,Computer and Technology,Electronics - Miscellaneous Components,325,25,2,16138.8,44725.8,135066.09,156699.31,158862.63,159078.96,0.0,25__0
AMT,Finance,REIT and Equity Trust - Other,577,30,2,54575.0,123342.4,462405.6,605950.56,620305.06,621740.51,0.0,30__0
AMTM,Construction,Engineering - R and D Services,451,25,2,51375.0,129000.0,312408.75,382240.87,389224.09,389922.41,0.0,25__0
AMTX,Oils-Energy,Biofuels,4,5,3,4974.5,4994.9,4999.49,4999.95,4999.99,5000.0,0.0,5__0
AMWD,Consumer Discretionary,Furniture,2,5,3,8128.0,8217.6,8237.76,8239.78,8239.98,8240.0,0.0,5__0
AMWL,Medical,Medical Info Systems,1,0,3,5750.0,5750.0,5750.0,5750.0,5750.0,5750.0,2.0,0__2
AMZN,Computer and Technology,Internet - Software and Services,318227,55,1,26640.0,69090.74,293855.36,1181318.84,2541600.6,3439423.3,0.0,55__0
AN,Retail-Wholesale,Automotive - Retail and Whole Sales,146,20,2,16165.5,34660.5,54102.03,56710.2,56971.02,56997.1,0.0,20__0
ANAB,Medical,Medical - Biomedical and Genetics,302,25,2,45091.5,202245.95,695970.0,704097.0,704909.7,704990.97,2.0,25__2
ANET,Computer and Technology,Internet - Software,14820,40,2,23275.0,60165.99,208622.67,507122.2,868567.04,920481.7,3.0,40__3
ANF,Retail-Wholesale,Retail - Apparel and Shoes,7591,40,2,26650.0,83190.0,406817.92,788739.5,1102623.95,1134012.39,0.0,40__0
ANGI,Computer and Technology,Internet - Content,34,15,3,137893.0,172317.55,179227.25,179918.23,179987.32,179994.23,0.0,15__0
ANIK,Medical,Medical - Biomedical and Genetics,4,5,3,7108.0,7405.6,7472.56,7479.26,7479.93,7479.99,0.0,5__0
ANIP,Medical,Medical - Biomedical and Genetics,2,5,3,4228.5,4229.7,4229.97,4230.0,4230.0,4230.0,0.0,5__0
ANNX,Medical,Medical - Biomedical and Genetics,9,10,3,11624.0,14132.8,14697.28,14753.73,14759.37,14759.94,0.0,10__0
ANRO,Medical,Medical - Biomedical and Genetics,68,20,2,15358.0,136650.0,199965.0,206296.5,206929.65,206992.96,0.0,20__0
ANSS,Computer and Technology,Computer - Software,280,25,2,15200.0,55025.0,199053.0,222405.3,224740.53,224974.05,0.0,25__0
ANVS,Medical,Medical - Biomedical and Genetics,16,10,3,11337.5,13467.5,13946.75,13994.68,13999.47,13999.95,0.0,10__0
AON,Finance,Insurance - Brokerage,451,25,2,20250.0,190000.0,502000.0,518200.0,519820.0,519982.0,0.0,25__0
AOS,Industrial Products,Manufacturing - Electronics,65,20,2,139082.0,214440.4,231945.04,233695.5,233870.55,233888.06,3.0,20__3
AOSL,Computer and Technology,Electronics - Semiconductors,143,20,2,19836.8,48054.6,53281.08,53442.11,53458.21,53459.82,0.0,20__0
APA,Oils-Energy,Oil and Gas - Exploration and Production - United States,909,30,2,15571.6,134760.0,683740.0,761374.0,769137.4,769913.74,0.0,30__0
APAM,Finance,Financial - Investment Management,2,5,3,4405.75,4457.15,4468.72,4469.87,4469.99,4470.0,0.0,5__0
APD,Basic Materials,Chemical - Diversified ,789,30,2,20738.0,88699.92,558750.0,558750.0,558750.0,558750.0,2.0,30__2
APG,Business Services,Business - Services,29,15,3,4776.0,6412.0,6941.2,6994.12,6999.41,6999.94,0.0,15__0
APGE,Medical,Medical - Biomedical and Genetics,51,15,3,35560.0,183000.0,201900.0,203790.0,203979.0,203997.9,0.0,15__0
APH,Computer and Technology,Electronics - Connectors,916,30,2,32228.0,111538.75,247650.0,321765.0,329176.5,329917.65,2.0,30__2
API,Business Services,Technology Services,16,10,3,8776.25,11755.25,12425.52,12492.55,12499.26,12499.93,0.0,10__0
APLD,Finance,Financial - Miscellaneous Services,5346,35,2,27960.0,98100.0,357271.75,657583.86,686915.89,689849.09,0.0,35__0
APLS,Medical,Medical - Biomedical and Genetics,288,25,2,22925.0,76300.0,455489.58,468346.46,469632.15,469760.71,0.0,25__0
APLT,Medical,Medical - Biomedical and Genetics,201,25,2,40800.0,200000.0,501000.0,522600.0,524760.0,524976.0,2.0,25__2
APO,Finance,Financial - Investment Management,5130,35,2,25300.0,57312.17,151742.0,556761.6,601076.16,605507.62,0.0,35__0
APOG,Industrial Products,Glass Products,16,10,3,13875.0,14775.0,14977.5,14997.75,14999.78,14999.98,0.0,10__0
APP,Business Services,Technology Services,111245,50,1,32479.2,93856.4,391872.14,2143967.48,5099127.86,5501402.78,2.0,50__2
APPF,Computer and Technology,Internet - Software,106,20,2,18325.0,205130.0,603038.25,644178.83,648292.88,648704.29,3.0,20__3
APPN,Computer and Technology,Internet - Software,65,20,2,47920.0,108050.4,179555.04,186705.5,187420.55,187492.06,0.0,20__0
APPS,Computer and Technology,Internet - Software,92,20,2,10206.1,23620.0,38362.0,39836.2,39983.62,39998.36,0.0,20__0
APTV,Auto-Tires-Trucks,Automotive - Original Equipment,415,25,2,94800.0,232669.28,431340.0,502134.0,509213.4,509921.34,2.0,25__2
AQST,Medical,Medical - Drugs,7,10,3,8114.0,8838.8,9001.88,9018.19,9019.82,9019.98,0.0,10__0
AR,Oils-Energy,Oil and Gas - Exploration and Production - United States,510,25,2,22228.8,93502.4,178533.58,186495.36,187291.54,187371.15,0.0,25__0
ARBE,Business Services,Technology Services,129,20,2,13254.0,18487.2,19397.6,19489.76,19498.98,19499.9,0.0,20__0
ARCB,Transportation,Transportation - Truck,44,15,3,29008.6,326960.0,453896.0,466589.6,467858.96,467985.9,1.0,15__1
ARCC,Finance,Financial - SBIC & Commercial Industry,78,20,2,100950.0,128450.0,138845.0,139884.5,139988.45,139998.84,3.0,20__3
ARCT,Medical,Medical - Biomedical and Genetics,31,15,3,10250.0,18364.0,21204.4,21488.44,21516.84,21519.68,0.0,15__0
ARDT,Medical,Medical Services,6,10,3,32332.5,33514.5,33780.45,33807.05,33809.7,33809.97,0.0,10__0
ARDX,Medical,Medical - Drugs,72,20,2,14901.0,25441.96,26415.8,26513.18,26522.92,26523.89,0.0,20__0
ARE,Finance,REIT and Equity Trust - Other,106,20,2,39611.25,88562.5,94698.75,95194.88,95244.49,95249.45,0.0,20__0
AREN,Business Services,Technology Services,1,0,3,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,2.0,0__2
ARES,Finance,Financial - Investment Management,276,25,2,45855.0,145172.75,174717.8,179471.78,179947.18,179994.72,0.0,25__0
ARGX,Medical,Medical - Biomedical and Genetics,669,30,2,19500.0,53144.0,670944.0,1147094.4,1194709.44,1199470.94,0.0,30__0
ARHS,Retail-Wholesale,Retail - Miscellaneous,11,10,3,11237.5,12227.5,12450.25,12472.53,12474.75,12474.98,0.0,10__0
ARIS,Business Services,Waste Removal Services,2,5,3,3884.25,3908.85,3914.39,3914.94,3914.99,3915.0,0.0,5__0
ARLO,Computer and Technology,Internet - Software,4,5,3,4494.75,4498.95,4499.89,4499.99,4500.0,4500.0,0.0,5__0
ARLP,Oils-Energy,Coal,18,15,3,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,0.0,15__0
ARM,Computer and Technology,Electronics - Semiconductors,40636,45,1,23300.0,57407.75,180906.66,709982.67,798057.1,817805.71,1.0,45__1
ARMK,Business Services,Business - Services,36,15,3,12856.5,24195.6,29684.16,30233.02,30287.9,30293.39,0.0,15__0
