security,option_trade_value_bin,itm,otm,cnt,itm_1,itm_2,itm_3,itm_pct,min_trade_value,med_trade_value,stddev_trade_value
FCNCA,5,8.0,1.0,9.0,6.0,0.0,2.0,0.89,9130.0,9955.0,392.78
FCNCA,6,6.0,3.0,9.0,3.0,0.0,3.0,0.67,8280.0,8550.0,213.71
FCNCA,7,5.0,4.0,9.0,3.0,0.0,2.0,0.56,7660.0,7960.0,210.85
FCNCA,8,6.0,3.0,9.0,3.0,0.0,3.0,0.67,6930.0,7275.0,246.2
FCNCA,9,7.0,2.0,9.0,4.0,0.0,3.0,0.78,6600.0,6800.0,96.46
FCNCA,10,4.0,5.0,9.0,2.0,0.0,2.0,0.44,6212.0,6500.0,141.41
FHN,1,2.0,0.0,2.0,1.0,0.0,1.0,1.0,38080.0,370040.0,469462.33
FHN,2,1.0,1.0,2.0,0.0,0.0,1.0,0.5,21440.0,26580.0,7269.06
FHN,3,1.0,1.0,2.0,1.0,0.0,0.0,0.5,18000.0,18765.0,1081.87
FHN,4,1.0,1.0,2.0,0.0,0.0,1.0,0.5,12850.0,13565.0,1011.16
FHN,5,2.0,0.0,2.0,2.0,0.0,0.0,1.0,12320.0,12410.0,127.28
FHN,6,2.0,0.0,2.0,0.0,0.0,2.0,1.0,10560.0,11160.0,848.53
FHN,7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9550.0,9550.0,
FHN,8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9405.0,9405.0,
FHN,9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8250.0,8250.0,
FHN,10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7500.0,7500.0,
FITB,1,2.0,1.0,3.0,0.0,0.0,2.0,0.67,92120.0,123000.0,55558.78
FITB,2,1.0,2.0,3.0,1.0,0.0,0.0,0.33,43000.0,50000.0,7188.32
FITB,3,1.0,2.0,3.0,0.0,0.0,1.0,0.33,25728.0,37440.0,8109.23
FITB,4,3.0,0.0,3.0,3.0,0.0,0.0,1.0,21024.0,21250.0,1985.26
FITB,5,1.0,2.0,3.0,1.0,0.0,0.0,0.33,19905.0,20700.0,565.84
FITB,6,2.0,1.0,3.0,2.0,0.0,0.0,0.67,17160.0,18240.0,922.28
FITB,7,2.0,1.0,3.0,1.0,1.0,0.0,0.67,14325.0,14456.0,1081.34
FITB,8,1.0,2.0,3.0,1.0,0.0,0.0,0.33,12870.0,13050.0,269.51
FITB,9,2.0,1.0,3.0,0.0,0.0,2.0,0.67,10680.0,11340.0,484.74
FITB,10,1.0,1.0,2.0,1.0,0.0,0.0,0.5,9775.0,10107.5,470.23
FRME,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4750.0,4750.0,
GBCI,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5000.0,5000.0,
GBCI,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5000.0,5000.0,
HBAN,1,1.0,1.0,2.0,1.0,0.0,0.0,0.5,72905.0,73952.5,1481.39
HBAN,2,1.0,1.0,2.0,1.0,0.0,0.0,0.5,41650.0,48839.0,10166.78
HBAN,3,2.0,0.0,2.0,1.0,0.0,1.0,1.0,33992.0,34441.0,634.98
HBAN,4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,20200.0,23362.5,4472.45
HBAN,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19500.0,19500.0,
HBAN,6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,18576.0,18576.0,
HBAN,7,1.0,0.0,1.0,0.0,0.0,1.0,1.0,16590.0,16590.0,
HBAN,8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,15980.0,15980.0,
HBAN,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11895.0,11895.0,
HBAN,10,1.0,0.0,1.0,0.0,0.0,1.0,1.0,11790.0,11790.0,
KEY,1,1.0,4.0,5.0,1.0,0.0,0.0,0.2,82800.0,166777.0,135013.06
KEY,2,3.0,2.0,5.0,1.0,1.0,1.0,0.6,34201.0,41661.0,18044.63
KEY,3,2.0,2.0,4.0,2.0,0.0,0.0,0.5,24495.0,25554.0,568.07
KEY,4,1.0,3.0,4.0,1.0,0.0,0.0,0.25,17355.0,19806.0,3046.41
KEY,5,1.0,3.0,4.0,1.0,0.0,0.0,0.25,13712.0,14829.5,1514.63
KEY,6,1.0,3.0,4.0,1.0,0.0,0.0,0.25,11280.0,12439.5,881.91
KEY,7,4.0,0.0,4.0,2.0,0.0,2.0,1.0,9216.0,9526.0,403.3
KEY,8,3.0,1.0,4.0,2.0,0.0,1.0,0.75,8690.0,8947.0,139.61
KEY,9,3.0,1.0,4.0,2.0,1.0,0.0,0.75,7871.0,8228.0,299.76
KEY,10,1.0,3.0,4.0,1.0,0.0,0.0,0.25,7008.0,7212.5,254.06
MBIN,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,11500.0,11500.0,
MTB,1,3.0,0.0,3.0,2.0,0.0,1.0,1.0,47310.0,54936.0,47402.22
MTB,2,2.0,1.0,3.0,0.0,0.0,2.0,0.67,45000.0,45120.0,428.57
MTB,3,2.0,1.0,3.0,2.0,0.0,0.0,0.67,22400.0,25900.0,6559.73
MTB,4,2.0,1.0,3.0,1.0,0.0,1.0,0.67,18400.0,18880.0,430.97
MTB,5,2.0,1.0,3.0,1.0,0.0,1.0,0.67,15000.0,15750.0,1162.02
MTB,6,2.0,1.0,3.0,0.0,0.0,2.0,0.67,13500.0,14560.0,734.19
MTB,7,1.0,2.0,3.0,0.0,1.0,0.0,0.33,11550.0,11760.0,747.0
MTB,8,1.0,2.0,3.0,1.0,0.0,0.0,0.33,10500.0,10560.0,330.45
MTB,9,2.0,1.0,3.0,2.0,0.0,0.0,0.67,9880.0,9920.0,346.99
MTB,10,2.0,0.0,2.0,2.0,0.0,0.0,1.0,7680.0,7965.0,403.05
MTG,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,10980.0,10980.0,
NBTB,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5400.0,5400.0,
NTRS,1,4.0,0.0,4.0,1.0,0.0,3.0,1.0,46517.0,55350.0,35027.37
NTRS,2,3.0,1.0,4.0,0.0,1.0,2.0,0.75,19360.0,32044.0,10386.45
NTRS,3,2.0,1.0,3.0,0.0,0.0,2.0,0.67,17680.0,18000.0,774.2
NTRS,4,2.0,1.0,3.0,0.0,0.0,2.0,0.67,15755.0,16368.0,622.52
NTRS,5,3.0,0.0,3.0,1.0,0.0,2.0,1.0,13700.0,13800.0,732.06
NTRS,6,3.0,0.0,3.0,0.0,0.0,3.0,1.0,11000.0,11000.0,115.47
NTRS,7,3.0,0.0,3.0,1.0,0.0,2.0,1.0,9460.0,10730.0,748.09
NTRS,8,2.0,1.0,3.0,0.0,0.0,2.0,0.67,8500.0,8600.0,110.15
NTRS,9,3.0,0.0,3.0,2.0,0.0,1.0,1.0,7740.0,7930.0,257.75
NTRS,10,1.0,2.0,3.0,1.0,0.0,0.0,0.33,7600.0,7650.0,30.75
OZK,1,2.0,2.0,4.0,0.0,0.0,2.0,0.5,29240.0,30790.5,7873.28
OZK,2,3.0,1.0,4.0,2.0,0.0,1.0,0.75,19260.0,20222.5,1159.6
OZK,3,4.0,0.0,4.0,3.0,0.0,1.0,1.0,16200.0,17025.0,1157.85
OZK,4,4.0,0.0,4.0,4.0,0.0,0.0,1.0,12500.0,14150.0,1458.31
OZK,5,4.0,0.0,4.0,1.0,0.0,3.0,1.0,10906.0,11412.5,485.86
OZK,6,3.0,1.0,4.0,2.0,1.0,0.0,0.75,9440.0,10057.5,438.2
OZK,7,3.0,1.0,4.0,2.0,0.0,1.0,0.75,8450.0,8685.0,423.95
OZK,8,4.0,0.0,4.0,1.0,0.0,3.0,1.0,8216.0,8325.0,102.82
OZK,9,2.0,1.0,3.0,1.0,0.0,1.0,0.67,8000.0,8000.0,57.74
OZK,10,3.0,0.0,3.0,2.0,0.0,1.0,1.0,7505.0,7625.0,148.35
PB,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4830.0,4830.0,
PFSI,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,131250.0,131250.0,
PFSI,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,55500.0,55500.0,
PFSI,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,33750.0,33750.0,
PNC,1,6.0,7.0,13.0,4.0,0.0,2.0,0.46,57500.0,86025.0,34925.52
PNC,2,6.0,7.0,13.0,5.0,0.0,1.0,0.46,38610.0,46255.0,5920.41
PNC,3,4.0,9.0,13.0,1.0,2.0,1.0,0.31,28459.0,30000.0,3273.62
PNC,4,7.0,6.0,13.0,5.0,1.0,1.0,0.54,21300.0,24215.0,2246.91
PNC,5,8.0,5.0,13.0,3.0,0.0,5.0,0.62,17000.0,19120.0,1481.07
PNC,6,8.0,5.0,13.0,3.0,0.0,5.0,0.62,14000.0,15040.0,771.4
PNC,7,6.0,7.0,13.0,5.0,0.0,1.0,0.46,11500.0,12800.0,689.33
PNC,8,7.0,6.0,13.0,3.0,1.0,3.0,0.54,10272.0,10800.0,340.38
PNC,9,9.0,4.0,13.0,8.0,0.0,1.0,0.69,9225.0,9800.0,338.48
PNC,10,4.0,8.0,12.0,2.0,1.0,1.0,0.33,8845.0,9000.0,117.64
PNFP,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,40460.0,40460.0,
PPBI,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,31740.0,31740.0,
RDN,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20130.0,20130.0,
SNV,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,31339.0,34839.5,4950.45
SNV,2,1.0,1.0,2.0,1.0,0.0,0.0,0.5,17040.0,20312.0,4627.31
SNV,3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15015.0,15070.0,77.78
SNV,4,1.0,1.0,2.0,1.0,0.0,0.0,0.5,13200.0,13300.0,141.42
SNV,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,12920.0,12920.0,
SNV,6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,11400.0,11400.0,
SNV,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9800.0,9800.0,
SNV,8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9800.0,9800.0,
SNV,9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9768.0,9768.0,
SNV,10,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8745.0,8745.0,
SYBT,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7750.0,7750.0,
TBBK,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,52785.0,52785.0,
TBBK,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,49010.0,49010.0,
TBBK,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,25000.0,25000.0,
TCBI,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4920.0,4920.0,
TFIN,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,56000.0,56000.0,
TFIN,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6500.0,6500.0,
TRMK,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,6510.0,6510.0,
UMBF,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3135.0,3135.0,
USB,1,8.0,9.0,17.0,3.0,0.0,5.0,0.47,48000.0,60000.0,54247.12
USB,2,8.0,9.0,17.0,4.0,2.0,2.0,0.47,32306.0,36000.0,2655.53
USB,3,5.0,12.0,17.0,3.0,1.0,1.0,0.29,24948.0,28000.0,1946.18
USB,4,7.0,9.0,16.0,2.0,2.0,3.0,0.44,17940.0,20937.0,2026.58
USB,5,6.0,10.0,16.0,5.0,0.0,1.0,0.38,13740.0,14786.5,1140.47
USB,6,8.0,8.0,16.0,6.0,1.0,1.0,0.5,11946.0,12589.0,549.75
USB,7,11.0,5.0,16.0,6.0,1.0,4.0,0.69,10500.0,11292.0,543.95
USB,8,7.0,9.0,16.0,1.0,3.0,3.0,0.44,9135.0,9542.0,305.51
USB,9,8.0,8.0,16.0,4.0,0.0,4.0,0.5,8190.0,8523.5,293.43
USB,10,6.0,10.0,16.0,2.0,2.0,2.0,0.38,7553.0,7892.0,208.42
VLY,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,225000.0,225000.0,
VLY,2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,49350.0,49350.0,
VLY,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20850.0,20850.0,
VLY,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,18810.0,18810.0,
VLY,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11400.0,11400.0,
WAL,1,5.0,2.0,7.0,2.0,0.0,3.0,0.71,33968.0,39000.0,48601.11
WAL,2,5.0,2.0,7.0,1.0,0.0,4.0,0.71,23000.0,26000.0,3490.9
WAL,3,4.0,3.0,7.0,0.0,1.0,3.0,0.57,18400.0,19200.0,1628.15
WAL,4,4.0,3.0,7.0,1.0,0.0,3.0,0.57,15480.0,17200.0,970.2
WAL,5,3.0,4.0,7.0,1.0,0.0,2.0,0.43,13680.0,14700.0,615.03
WAL,6,2.0,5.0,7.0,2.0,0.0,0.0,0.29,12400.0,13020.0,469.97
WAL,7,1.0,6.0,7.0,0.0,0.0,1.0,0.14,11200.0,11440.0,436.25
WAL,8,1.0,6.0,7.0,0.0,0.0,1.0,0.14,10350.0,10560.0,265.51
WAL,9,3.0,4.0,7.0,1.0,1.0,1.0,0.43,9250.0,9600.0,351.99
WAL,10,2.0,4.0,6.0,2.0,0.0,0.0,0.33,8200.0,8835.0,343.79
WBS,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,128280.0,128280.0,
WBS,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,35904.0,35904.0,
WBS,3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,25520.0,25520.0,
WBS,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16000.0,16000.0,
WBS,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13800.0,13800.0,
WBS,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,13350.0,13350.0,
WBS,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10400.0,10400.0,
ZION,1,3.0,1.0,4.0,2.0,0.0,1.0,0.75,46816.0,51814.5,17678.52
ZION,2,3.0,1.0,4.0,3.0,0.0,0.0,0.75,32340.0,34340.0,3344.54
ZION,3,3.0,1.0,4.0,3.0,0.0,0.0,0.75,24210.0,27180.0,3833.04
ZION,4,2.0,2.0,4.0,1.0,0.0,1.0,0.5,21400.0,22230.0,709.51
ZION,5,2.0,2.0,4.0,1.0,0.0,1.0,0.5,15975.0,18339.0,2048.51
ZION,6,2.0,2.0,4.0,1.0,0.0,1.0,0.5,14300.0,14645.5,702.78
ZION,7,2.0,2.0,4.0,1.0,0.0,1.0,0.5,13300.0,13730.0,423.75
ZION,8,2.0,1.0,3.0,2.0,0.0,0.0,0.67,11470.0,11578.0,612.07
ZION,9,3.0,0.0,3.0,2.0,0.0,1.0,1.0,10000.0,10200.0,433.17
ZION,10,2.0,1.0,3.0,2.0,0.0,0.0,0.67,8475.0,8750.0,721.91
