security,min_date_from_expiration,max_date_from_expiration,qualifying_trades,q1_size,q3_size,iqr_size,trad_k_size_threshold,p90_size,p95_size,p97_size,p98_size,p99_size,trad_k_size,p90_k_size,p95_k_size,p97_k_size,p98_k_size,p99_k_size,q1_trade_value,q3_trade_value,iqr_trade_value,trad_k_trade_value_threshold,p90_trade_value,p95_trade_value,p97_trade_value,p98_trade_value,p99_trade_value,trad_k_trade_value,p90_k_trade_value,p95_k_trade_value,p97_k_trade_value,p98_k_trade_value,p99_k_trade_value,large_trade_size_filter,large_trade_value_filter
PPBI,24,24,1,529.0,529.0,0.0,529.0,529.0,529.0,529.0,529.0,529.0,1.500,nan,nan,nan,nan,nan,31740.0,31740.0,0.0,31740.0,31740.0,31740.0,31740.0,31740.0,31740.0,1.500,nan,nan,nan,nan,nan,529.0,31740.0
RDN,7,16,3,475.5,671.0,195.5,964.25,671.0,671.0,671.0,671.0,671.0,1.500,0.0,0.0,0.0,0.0,0.0,16775.0,25465.0,8690.0,38500.0,28666.0,29733.0,30159.8,30373.2,30586.6,1.500,0.36835443037974686,0.4911392405063291,0.5402531645569619,0.5648101265822786,0.5893670886075948,964.25,38500.0
SNV,0,28,221,25.0,69.0,44.0,135.0,100.0,200.0,240.0,303.8,480.6,1.500,0.7045454545454546,2.977272727272727,3.8863636363636362,5.336363636363637,9.354545454545455,4158.0,9440.0,5282.0,17363.0,15800.0,26000.0,28464.0,35264.0,66072.0,1.500,1.2040893600908746,3.1351760696705795,3.6016660355925785,4.889057175312382,10.721696327148807,135.0,30000.0
SRCE,29,29,2,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,1.500,nan,nan,nan,nan,nan,3330.0,3330.0,0.0,3330.0,3330.0,3330.0,3330.0,3330.0,3330.0,1.500,nan,nan,nan,nan,nan,9.0,30000.0
SSB,23,25,2,20.0,40.0,20.0,70.0,46.0,48.0,48.8,49.2,49.6,1.500,0.3,0.4,0.43999999999999984,0.46000000000000013,0.4800000000000001,7400.0,15800.0,8400.0,28400.0,18320.0,19160.0,19496.0,19664.0,19832.0,1.500,0.3,0.4,0.44,0.46,0.48,70.0,30000.0
SYBT,11,29,6,25.0,50.0,25.0,87.5,62.5,68.75,71.25,72.5,73.75,1.500,0.5,0.75,0.85,0.9,0.95,5625.0,13937.5,8312.5,26406.25,16437.5,16656.25,16743.75,16787.5,16831.25,1.500,0.3007518796992481,0.32706766917293234,0.337593984962406,0.34285714285714286,0.3481203007518797,87.5,30000.0
TBBK,6,29,34,24.75,100.0,75.25,212.875,186.8,381.9,391.0,391.0,391.0,1.500,1.1534883720930234,3.746179401993355,3.867109634551495,3.867109634551495,3.867109634551495,4698.75,25000.0,20301.25,55451.875,42707.0,52785.0,52817.15,53878.1,54939.05,1.500,0.8722123021981405,1.368634936272397,1.3702185825995936,1.4224789113970815,1.4747392401945694,212.875,55451.875
TCBI,25,25,1,30.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,1.500,nan,nan,nan,nan,nan,6300.0,6300.0,0.0,6300.0,6300.0,6300.0,6300.0,6300.0,6300.0,1.500,nan,nan,nan,nan,nan,30.0,30000.0
TFIN,1,29,11,20.0,50.0,30.0,95.0,50.0,50.0,50.0,50.0,50.0,1.500,0.0,0.0,0.0,0.0,0.0,3500.0,9500.0,6000.0,18500.0,13650.0,19585.0,21959.0,23146.0,24333.0,1.500,0.6916666666666667,1.6808333333333334,2.0765,2.2743333333333333,2.472166666666667,95.0,30000.0
UMBF,16,18,4,15.75,27.25,11.5,44.5,40.3,44.65,46.39,47.26,48.13,1.500,1.1347826086956518,1.5130434782608695,1.6643478260869566,1.7399999999999998,1.8156521739130438,5463.75,7372.5,1908.75,10235.625,9123.0,9706.5,9939.9,10056.6,10173.3,1.500,0.9170923379174852,1.2227897838899804,1.345068762278978,1.4062082514734775,1.467347740667976,44.5,30000.0
USB,0,29,500,62.75,273.25,210.5,589.0,539.1,1000.0,1305.39,2000.0,2497.0,1.500,1.2629453681710214,3.4524940617577196,4.903277909738718,8.203087885985749,10.564133016627078,7629.0,18115.0,10486.0,33844.0,39370.5,67900.6,95500.0,101059.72,265352.58,1.500,2.0270360480640854,4.747816135800115,7.379839786381843,7.910043868014496,23.577873354949457,589.0,95500.0
VLY,2,29,124,100.0,207.0,107.0,367.5,905.8,1000.0,1000.0,1005.94,1332.86,1.500,6.530841121495326,7.411214953271028,7.411214953271028,7.466728971962618,10.522056074766354,5000.0,7210.0,2210.0,10525.0,34600.0,45000.0,46255.5,49860.0,66643.0,1.500,12.393665158371041,17.099547511312217,17.66764705882353,19.29864253393665,26.892760180995474,905.8,46255.5
WABC,25,25,1,15.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,1.500,nan,nan,nan,nan,nan,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,1.500,nan,nan,nan,nan,nan,15.0,30000.0
WAFD,16,25,3,49.5,76.0,26.5,115.75,90.4,95.2,97.12,98.08,99.04,1.500,0.5433962264150946,0.7245283018867925,0.7969811320754718,0.8332075471698113,0.8694339622641512,3960.0,7080.0,3120.0,11760.0,8832.0,9416.0,9649.6,9766.4,9883.2,1.500,0.5615384615384615,0.7487179487179487,0.8235897435897437,0.8610256410256409,0.8984615384615386,115.75,30000.0
WAL,0,29,500,15.0,49.0,34.0,100.0,90.0,138.1,160.0,279.32,300.69,1.500,1.2058823529411764,2.6205882352941177,3.264705882352941,6.774117647058823,7.402647058823529,4130.0,9000.0,4870.0,16305.0,17119.0,24757.5,33557.5,36048.8,45203.0,1.500,1.6671457905544147,3.2356262833675564,5.042607802874743,5.55416837782341,7.43388090349076,100.0,33557.5
WBS,0,27,36,52.5,358.75,306.25,818.125,467.0,748.0,748.0,844.3,956.65,1.500,0.35346938775510206,1.2710204081632652,1.2710204081632652,1.5854693877551018,1.9523265306122448,5418.75,39528.0,34109.25,90691.875,82000.0,91000.0,105000.0,112684.0,120482.0,1.500,1.245175428952557,1.5090334733246846,1.9194793201257723,2.144755454898598,2.3733737915668036,818.125,105000.0
ZION,0,29,156,24.25,164.0,139.75,373.625,413.0,667.25,807.0,825.0,827.0,1.500,1.7817531305903398,3.6010733452593917,4.601073345259392,4.729874776386405,4.744186046511628,3703.75,10917.5,7213.75,21738.125,38700.0,46896.75,63000.0,63000.0,72606.6,1.500,3.8513255934846646,4.987593138104315,7.2198925662796745,7.2198925662796745,8.551599376191302,413.0,63000.0
