security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
HRI,Transportation,Transportation - Equipment and Leasing,0.55,,,,80,20__0,20,2,0.0,19415.0,22172.5,26110.8,28585.08,28832.51,28857.25,28859.73
HTZ,Transportation,Transportation - Services,0.55,,,,1038,30__0,30,2,0.0,17486.0,28950.7,97500.0,885012.78,1392965.0,1444296.5,1449429.65
JBHT,Transportation,Transportation - Truck,0.55,175560.0,5. p99_trade_value,4.0,311,25__2,25,2,2.0,21315.0,71910.0,174654.0,501300.0,576630.0,584163.0,584916.3
JBLU,Transportation,Transportation - Airline,0.55,,,,588,30__2,30,2,2.0,9908.2,12998.6,27617.72,61640.67,71990.07,73025.01,73128.5
JOBY,Transportation,Transportation - Airline,0.55,171100.0,1. p999999_trade_value,1.0,563,30__2,30,2,2.0,12487.0,19795.0,34795.0,122711.8,166261.18,170616.12,171051.61
KNX,Transportation,Transportation - Truck,0.55,,,,297,25__2,25,2,2.0,29688.0,72143.2,170298.4,311915.88,328191.59,329819.16,329981.92
LUV,Transportation,Transportation - Airline,0.55,39975.0,6. p95_trade_value,92.0,1825,35__1,35,2,1.0,21780.0,39620.0,122194.56,398926.4,463108.2,469310.82,469931.08
MATX,Transportation,Transportation - Services,0.55,544439.0,1. p999999_trade_value,1.0,72,20__1,20,2,1.0,43905.0,189779.25,537686.19,543763.72,544371.47,544432.25,544438.32
NMM,Transportation,Transportation - Shipping,0.55,8560.0,8. p75_trade_value,42.0,168,20__0,20,2,0.0,11000.0,11958.0,29850.6,34791.25,34979.13,34997.91,34999.79
NSC,Transportation,Transportation - Rail,0.55,363599.99999999994,1. p999999_trade_value,1.0,267,25__0,25,2,0.0,19228.0,38955.0,173622.4,341362.4,361376.24,363377.62,363577.76
ODFL,Transportation,Transportation - Truck,0.55,400000.0,1. p999999_trade_value,1.0,496,25__0,25,2,0.0,17490.0,29277.5,93775.0,317830.0,391783.0,399178.3,399917.83
OMEX,Transportation,Transportation - Shipping,0.55,40500.0,1. p999999_trade_value,1.0,153,20__0,20,2,0.0,10144.0,14096.0,31346.8,39259.68,40375.97,40487.6,40498.76
PONY,Transportation,Transportation - Equipment and Leasing,0.55,,,,1260,30__2,30,2,2.0,15294.8,25840.7,60000.0,167050.0,204474.8,207647.48,207964.75
SAIA,Transportation,Transportation - Truck,0.55,,,,677,30__0,30,2,0.0,20232.0,45060.0,176957.2,828748.8,1249274.88,1291327.49,1295532.75
SBLK,Transportation,Transportation - Shipping,0.55,,,,114,20__0,20,2,0.0,11826.0,15626.5,28850.95,58571.06,61864.11,62193.41,62226.34
SKYW,Transportation,Transportation - Airline,0.55,,,,68,20__0,20,2,0.0,16021.0,20412.0,26388.4,30898.84,31349.88,31394.99,31399.5
STNG,Transportation,Transportation - Shipping,0.55,107084.99999999999,1. p999999_trade_value,1.0,417,25__0,25,2,0.0,17520.0,23650.0,48813.76,95817.64,105958.26,106972.33,107073.73
TNK,Transportation,Transportation - Shipping,0.55,,,,103,20__0,20,2,0.0,14801.0,20900.0,53284.56,74186.64,76268.66,76476.87,76497.69
TRMD,Transportation,Transportation - Shipping,0.55,31160.000000000004,6. p95_trade_value,4.0,65,20__0,20,2,0.0,21046.0,31018.0,62257.32,75469.03,76790.2,76922.32,76935.53
UAL,Transportation,Transportation - Airline,0.55,,,,13954,40__0,40,2,0.0,16738.0,26339.6,81906.45,582919.0,1434420.3,2236887.65,2319887.76
UNP,Transportation,Transportation - Rail,0.55,,,,1311,30__2,30,2,2.0,12730.0,18175.0,60105.6,377895.0,574206.0,594720.6,596772.06
UPS,Transportation,Transportation - Air Freight and Cargo,0.55,60605.99999999999,5. p99_trade_value,70.0,6987,40__3,40,2,3.0,13153.2,20583.0,60084.84,255500.0,568569.33,847203.63,875067.06
