security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241018C00135000,UPS,C,135.0,2024-10-18,227,0,304,1.18,1728495716524000000,864,101952.0,2024-10-09,3000.0,30,True,Single Leg Auction Non ISO,Transportation,Transportation - Air Freight and Cargo,131.925,133.45,131.76,133.0,28,5.008395749785019,20,1,1,1,1,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115C00140000,UPS,C,140.0,2024-11-15,231,0,301,3.35,1729092465466000000,220,73700.0,2024-10-16,3000.0,30,True,Single Leg Floor Trade,Transportation,Transportation - Air Freight and Cargo,134.51,136.26,134.51,135.84,54,4.867467487859051,20,1,1,0,0,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115C00140000,UPS,C,140.0,2024-11-15,231,0,301,3.3,1729092465466000000,330,108900.0,2024-10-16,3000.0,30,True,Single Leg Floor Trade,Transportation,Transportation - Air Freight and Cargo,134.51,136.26,134.51,135.84,24,5.037027879755775,20,1,1,0,0,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115P00120000,UPS,P,120.0,2024-11-15,233,0,312,1.04,1729517968690000000,700,72800.0,2024-10-21,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,133.52,133.85,131.11,131.33,58,4.862131379313038,20,1,0,0,0,1
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115P00120000,UPS,P,120.0,2024-11-15,233,0,312,1.04,1729517968690000000,700,72800.0,2024-10-21,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,133.52,133.85,131.11,131.33,57,4.862131379313038,20,1,0,0,0,1
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115P00125000,UPS,P,125.0,2024-11-15,233,0,312,2.06,1729517968690000000,700,144200.0,2024-10-21,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,133.52,133.85,131.11,131.33,13,5.15896526038341,20,1,0,0,0,1
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115P00125000,UPS,P,125.0,2024-11-15,233,0,312,2.06,1729517968690000000,700,144200.0,2024-10-21,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,133.52,133.85,131.11,131.33,12,5.15896526038341,20,1,0,0,0,1
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,4. p999_trade_value,255500.0,435000.0,O:UPS241115P00130000,UPS,P,130.0,2024-11-15,233,0,312,3.65,1729517968690000000,700,255500.0,2024-10-21,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,133.52,133.85,131.11,131.33,7,5.407390904470732,20,1,1,0,0,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115P00130000,UPS,P,130.0,2024-11-15,233,0,312,3.64,1729517968690000000,300,109200.0,2024-10-21,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,133.52,133.85,131.11,131.33,22,5.038222638368718,20,1,1,0,0,0
UPS,Transportation,Transportation - Air Freight and Cargo,40__0,40,0.0,5. p99_trade_value,60605.99999999999,195520.0,O:UPS241115P00130000,UPS,P,130.0,2024-11-15,233,0,312,3.64,1729517968690000000,300,109200.0,2024-10-21,3000.0,30,True,Multi Leg Auction,Transportation,Transportation - Air Freight and Cargo,133.52,133.85,131.11,131.33,23,5.038222638368718,20,1,1,0,0,0
