security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
BCAB,Medical,Medical - Biomedical and Genetics,0.55,6075.0,1. p999999_trade_value,1.0,7,10__0,10,3,0.0,5982.0,6028.5,6065.7,6074.07,6074.91,6074.99,6075.0
BCAX,Medical,Medical - Biomedical and Genetics,0.55,,,,2,5__0,5,3,0.0,3885.0,3917.5,3943.5,3949.35,3949.94,3949.99,3950.0
BCRX,Medical,Medical - Drugs,0.55,,,,24,15__0,15,3,0.0,7764.2,9691.9,15813.5,17376.35,17532.64,17548.26,17549.83
BCYC,Medical,Medical - Biomedical and Genetics,0.55,,,,17,10__0,10,3,0.0,39848.0,53726.0,65265.2,67861.52,68121.15,68147.12,68149.71
BDTX,Medical,Medical - Biomedical and Genetics,0.55,,,,39,15__0,15,3,0.0,10324.4,18190.0,50888.0,58548.8,59314.88,59391.49,59399.15
BIO,Medical,Medical - Products,0.55,101250.0,6. p95_trade_value,2.0,32,15__0,15,3,0.0,41775.0,78562.5,123157.5,132015.75,132901.58,132990.16,132999.02
BKD,Medical,Medical - Nursing Homes,0.55,4000.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
BLFS,Medical,Medical - Products,0.55,,,,3,5__3,5,3,3.0,14144.0,14992.0,15670.4,15823.04,15838.3,15839.83,15839.98
BLRX,Medical,Medical - Drugs,0.55,3730.0000000000005,1. p999999_trade_value,1.0,2,5__0,5,3,0.0,3703.5,3716.75,3727.35,3729.74,3729.97,3730.0,3730.0
BMRA,Medical,Medical - Drugs,0.55,,,,2,5__0,5,3,0.0,4839.0,4899.5,4947.9,4958.79,4959.88,4959.99,4960.0
BNGO,Medical,Medical - Biomedical and Genetics,0.55,,,,2,5__0,5,3,0.0,3686.5,3718.25,3743.65,3749.37,3749.94,3749.99,3750.0
BTAI,Medical,Medical - Biomedical and Genetics,0.55,,,,1,0__2,0,3,2.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0
BVS,Medical,Medical - Drugs,0.55,,,,2,5__0,5,3,0.0,5229.0,5309.5,5373.9,5388.39,5389.84,5389.98,5390.0
CATX,Medical,Medical - Drugs,0.55,,,,7,10__0,10,3,0.0,7331.2,9154.6,10613.32,10941.53,10974.35,10977.64,10977.96
CCCC,Medical,Medical - Biomedical and Genetics,0.55,850000.0,1. p999999_trade_value,1.0,14,10__1,10,3,1.0,10196.0,305040.0,741008.0,839100.8,848910.08,849891.01,849989.1
