security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
GRMN,Computer and Technology,Electronics - Miscellaneous Products,0.55,23265.0,6. p95_trade_value,29.0,596,30__2,30,2,2.0,15625.0,23000.0,77193.75,150882.35,165271.24,166710.12,166854.01
HIMX,Computer and Technology,Electronics - Semiconductors,0.55,,,,241,25__0,25,2,0.0,13695.0,17760.0,27940.0,49024.0,53862.4,54346.24,54394.62
IESC,Computer and Technology,Electronics - Miscellaneous Services,0.55,26000.0,6. p95_trade_value,23.0,441,25__0,25,2,0.0,19720.0,26000.0,123600.0,220424.0,224542.4,224954.24,224995.42
JBL,Computer and Technology,Electronics - Manufacturing Services,0.55,449000.0,4. p999_trade_value,2.0,1220,30__2,30,2,2.0,14280.0,25025.05,48988.2,420201.5,616717.1,637671.71,639767.17
KEYS,Computer and Technology,Electronics - Measuring Instruments,0.55,270000.0,1. p999999_trade_value,1.0,196,25__0,25,2,0.0,10920.0,18977.5,183308.25,255181.95,268518.2,269851.82,269985.18
KLAC,Computer and Technology,Electronics - Miscellaneous Products,0.55,,,,4105,35__0,35,2,0.0,18968.4,29112.4,86657.96,334121.6,670490.58,785753.06,797279.31
KODK,Computer and Technology,Electronics - Miscellaneous Products,0.55,,,,107,20__0,20,2,0.0,12948.0,18375.0,37053.6,57588.18,59731.82,59946.18,59967.62
KULR,Computer and Technology,Electronics - Semiconductors,0.55,7400.0,8. p75_trade_value,153.0,609,30__2,30,2,2.0,12022.0,19168.8,37231.0,80816.5,88935.85,89747.78,89828.98
LAES,Computer and Technology,Electronics - Semiconductors,0.55,,,,237,25__0,25,2,0.0,14160.0,20000.0,33254.0,42437.7,43483.77,43588.38,43598.84
LRCX,Computer and Technology,Electronics - Semiconductors,0.55,60319.99999999999,5. p99_trade_value,135.0,13470,40__3,40,2,3.0,15000.0,24186.35,60140.6,156918.68,284378.85,331418.87,336380.69
LSCC,Computer and Technology,Electronics - Semiconductors,0.55,994725.0,1. p999999_trade_value,1.0,363,25__0,25,2,0.0,14076.0,19036.8,35841.5,658226.09,961075.11,991360.01,994388.5
MKSI,Computer and Technology,Electronics - Miscellaneous Products,0.55,11610.0,8. p75_trade_value,18.0,70,20__3,20,2,3.0,27185.5,47514.75,187588.8,381638.88,401043.89,402984.39,403178.44
NVMI,Computer and Technology,Electronics - Semiconductors,0.55,30000.0,6. p95_trade_value,12.0,211,25__0,25,2,0.0,15065.0,30000.0,47520.0,69160.9,71941.09,72219.11,72246.91
NVT,Computer and Technology,Electronics - Miscellaneous Components,0.55,,,,132,20__2,20,2,2.0,43192.5,94662.25,204205.78,1867240.58,2092762.06,2115314.21,2117569.42
NVTS,Computer and Technology,Electronics - Semiconductors,0.55,8000.0,8. p75_trade_value,202.0,802,30__2,30,2,2.0,12372.5,17871.6,42835.2,69392.92,85306.79,86898.18,87057.32
OLED,Computer and Technology,Electronics - Miscellaneous Components,0.55,399839.99999999994,1. p999999_trade_value,1.0,341,25__0,25,2,0.0,15840.0,27300.0,117086.0,344814.4,394337.44,399289.74,399784.97
OSIS,Computer and Technology,Electronics - Miscellaneous Components,0.55,15000.0,8. p75_trade_value,30.0,120,20__0,20,2,0.0,33708.4,44401.0,70892.5,107644.8,112014.48,112451.45,112495.14
OUST,Computer and Technology,Electronics - Miscellaneous Components,0.55,15554.0,6. p95_trade_value,8.0,154,20__0,20,2,0.0,9800.0,15037.9,31840.1,40782.77,41734.28,41829.43,41838.94
PI,Computer and Technology,Electronics - Semiconductors,0.55,22999.999999999996,6. p95_trade_value,21.0,408,25__0,25,2,0.0,15096.0,22825.0,45982.88,59481.54,60866.15,61004.62,61018.46
POET,Computer and Technology,Electronics - Semiconductors,0.55,,,,141,20__0,20,2,0.0,13150.0,19080.0,37913.2,40666.08,40921.61,40947.16,40949.72
QSI,Computer and Technology,Electronics - Semiconductors,0.55,,,,292,25__0,25,2,0.0,10045.0,14913.75,26043.32,43938.28,47421.03,47769.3,47804.13
RMBS,Computer and Technology,Electronics - Semiconductors,0.55,19500.0,6. p95_trade_value,11.0,208,25__0,25,2,0.0,12701.4,18511.25,37800.45,130894.2,147549.42,149214.94,149381.49
ROK,Computer and Technology,Electronics - Miscellaneous Products,0.55,,,,453,25__0,25,2,0.0,16174.0,36176.0,115883.88,262312.0,341231.2,349123.12,349912.31
SITM,Computer and Technology,Electronics - Miscellaneous Products,0.55,,,,154,20__0,20,2,0.0,15756.0,22719.0,77947.44,133824.92,138932.49,139443.25,139494.32
SKYT,Computer and Technology,Electronics - Semiconductors,0.55,,,,128,20__0,20,2,0.0,15720.0,23406.25,49806.25,56626.9,57232.69,57293.27,57299.33
SMR,Computer and Technology,Electronics - Power Generation,0.55,,,,4472,35__1,35,2,1.0,17999.4,31917.5,138620.6,423069.69,941620.95,1024312.09,1032581.21
TEL,Computer and Technology,Electronics - Miscellaneous Components,0.55,61495.00000000001,1. p999999_trade_value,1.0,179,25__0,25,2,0.0,8904.0,12028.5,30712.0,56237.77,60969.28,61442.43,61489.74
TER,Computer and Technology,Electronics - Miscellaneous Products,0.55,,,,880,30__0,30,2,0.0,15963.0,27475.2,78012.0,609024.48,1126975.85,1178770.98,1183950.5
TSEM,Computer and Technology,Electronics - Semiconductors,0.55,487500.0,1. p999999_trade_value,1.0,269,25__0,25,2,0.0,20532.0,37341.0,150648.0,428978.45,481647.84,486914.78,487441.48
VICR,Computer and Technology,Electronics - Miscellaneous Components,0.55,250000.0,1. p999999_trade_value,1.0,318,25__0,25,2,0.0,18848.0,23051.0,44839.27,195054.39,244505.44,249450.54,249945.05
WCC,Computer and Technology,Electronics - Parts Distribution,0.55,8360.0,8. p75_trade_value,132.0,528,25__0,25,2,0.0,14582.5,20681.0,103178.0,565637.0,598363.7,601636.37,601963.64
