max_data_date,security,option_ticker,expiration,option_type,strike_price,last_9_count,last_9_avg_volume,last_9_median_volume,last_9_std_volume,last_21_count,last_21_avg_volume,last_21_median_volume,last_21_std_volume,last_50_count,last_50_avg_volume,last_50_median_volume,last_50_std_volume,anomaly_category,anomaly_volume
2025-06-06,SNV,O:SNV250620P00048000,2025-06-20,P,48.0,0,0.0,0.0,0.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0,50,1416.563
2025-06-06,SNV,O:SNV250627C00050000,2025-06-27,C,50.0,1,50.0,50.0,0.0,1,50.0,50.0,0.0,1,50.0,50.0,0.0,50,1416.563
2025-06-06,SNV,O:SNV250718C00050000,2025-07-18,C,50.0,1,13.0,13.0,0.0,1,13.0,13.0,0.0,1,13.0,13.0,0.0,50,1416.563
2025-06-06,SNV,O:SNV250718C00055000,2025-07-18,C,55.0,1,16.0,16.0,0.0,2,13.0,13.0,4.243,2,13.0,13.0,4.243,50,1416.563
2025-06-06,SSB,O:SSB250620C00090000,2025-06-20,C,90.0,0,0.0,0.0,0.0,1,10.0,10.0,0.0,2,140.0,140.0,183.848,50,471.31899999999996
2025-06-06,SSB,O:SSB250620C00095000,2025-06-20,C,95.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,267.5,267.5,357.089,50,471.31899999999996
2025-06-06,SSB,O:SSB250620C00100000,2025-06-20,C,100.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,5,49.8,20.0,63.208,50,471.31899999999996
2025-06-06,SSB,O:SSB250620C00120000,2025-06-20,C,120.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,25.0,25.0,0.0,50,471.31899999999996
2025-06-06,SSB,O:SSB250620P00060000,2025-06-20,P,60.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,10.0,10.0,0.0,50,471.31899999999996
2025-06-06,SSB,O:SSB250620P00065000,2025-06-20,P,65.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,20.0,20.0,0.0,50,471.31899999999996
2025-06-06,SSB,O:SSB250620P00085000,2025-06-20,P,85.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,281.5,281.5,337.29,50,471.31899999999996
2025-06-06,SSB,O:SSB250620P00095000,2025-06-20,P,95.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,15.0,15.0,0.0,50,471.31899999999996
2025-06-06,SSB,O:SSB250718C00100000,2025-07-18,C,100.0,0,0.0,0.0,0.0,1,52.0,52.0,0.0,1,52.0,52.0,0.0,50,471.31899999999996
