min_data_date,max_data_date,security,option_ticker,expiration,option_type,strike_price,last_9_count,last_9_avg_volume,last_9_median_volume,last_9_std_volume,last_21_count,last_21_avg_volume,last_21_median_volume,last_21_std_volume,last_50_count,last_50_avg_volume,last_50_median_volume,last_50_std_volume,last_100_count,last_100_avg_volume,last_100_median_volume,last_100_std_volume,anomaly_category,anomaly_volume
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516C01760000,2025-05-16,C,1760.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,1,10.0,10.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516C01770000,2025-05-16,C,1770.0,1,13.0,13.0,0.0,1,13.0,13.0,0.0,1,13.0,13.0,0.0,1,13.0,13.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516C01790000,2025-05-16,C,1790.0,1,18.0,18.0,0.0,1,18.0,18.0,0.0,1,18.0,18.0,0.0,1,18.0,18.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516C01890000,2025-05-16,C,1890.0,1,10.0,10.0,0.0,2,55.0,55.0,63.64,2,55.0,55.0,63.64,2,55.0,55.0,63.64,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516C01990000,2025-05-16,C,1990.0,2,12.0,12.0,0.0,2,12.0,12.0,0.0,2,12.0,12.0,0.0,2,12.0,12.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516C02060000,2025-05-16,C,2060.0,2,13.5,13.5,0.707,2,13.5,13.5,0.707,2,13.5,13.5,0.707,2,13.5,13.5,0.707,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516C02100000,2025-05-16,C,2100.0,1,17.0,17.0,0.0,3,15.0,17.0,3.464,3,15.0,17.0,3.464,3,15.0,17.0,3.464,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516P01680000,2025-05-16,P,1680.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250516P01770000,2025-05-16,P,1770.0,1,14.0,14.0,0.0,1,14.0,14.0,0.0,1,14.0,14.0,0.0,1,14.0,14.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250620C01900000,2025-06-20,C,1900.0,1,32.0,32.0,0.0,1,32.0,32.0,0.0,1,32.0,32.0,0.0,1,32.0,32.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250620C01940000,2025-06-20,C,1940.0,1,50.0,50.0,0.0,1,50.0,50.0,0.0,1,50.0,50.0,0.0,1,50.0,50.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250620C01980000,2025-06-20,C,1980.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,1,12.0,12.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250620C02040000,2025-06-20,C,2040.0,1,30.0,30.0,0.0,1,30.0,30.0,0.0,1,30.0,30.0,0.0,1,30.0,30.0,0.0,21,118.64
2025-01-15,2025-06-06,FCNCA,O:FCNCA250620P01020000,2025-06-20,P,1020.0,2,22.0,22.0,0.0,2,22.0,22.0,0.0,2,22.0,22.0,0.0,2,22.0,22.0,0.0,21,118.64
2025-01-14,2025-05-14,FNB,O:FNB250117C00015000,2025-01-17,C,15.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0,1,20.0,20.0,0.0,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250221C00015000,2025-02-21,C,15.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0,1,11.0,11.0,0.0,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250221C00017500,2025-02-21,C,17.5,1,19.0,19.0,0.0,1,19.0,19.0,0.0,1,19.0,19.0,0.0,1,19.0,19.0,0.0,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250221P00015000,2025-02-21,P,15.0,2,144.0,144.0,33.941,2,144.0,144.0,33.941,2,144.0,144.0,33.941,2,144.0,144.0,33.941,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250321C00015000,2025-03-21,C,15.0,2,135.5,135.5,20.506,2,135.5,135.5,20.506,2,135.5,135.5,20.506,2,135.5,135.5,20.506,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250417C00010000,2025-04-17,C,10.0,1,21.0,21.0,0.0,1,21.0,21.0,0.0,1,21.0,21.0,0.0,1,21.0,21.0,0.0,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250417C00015000,2025-04-17,C,15.0,1,80.0,80.0,0.0,3,110.0,100.0,36.056,4,85.0,90.0,58.023,4,85.0,90.0,58.023,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250516C00010000,2025-05-16,C,10.0,1,1251.0,1251.0,0.0,3,591.0,501.0,619.919,3,591.0,501.0,619.919,3,591.0,501.0,619.919,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250516C00012500,2025-05-16,C,12.5,1,504.0,504.0,0.0,1,504.0,504.0,0.0,1,504.0,504.0,0.0,1,504.0,504.0,0.0,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250516C00015000,2025-05-16,C,15.0,1,81.0,81.0,0.0,1,81.0,81.0,0.0,1,81.0,81.0,0.0,1,81.0,81.0,0.0,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250516C00017500,2025-05-16,C,17.5,2,76.0,76.0,22.627,2,76.0,76.0,22.627,2,76.0,76.0,22.627,2,76.0,76.0,22.627,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250516P00012500,2025-05-16,P,12.5,1,10.0,10.0,0.0,1,10.0,10.0,0.0,2,27.5,27.5,24.749,2,27.5,27.5,24.749,21,1120.9189999999999
2025-01-14,2025-05-14,FNB,O:FNB250620C00015000,2025-06-20,C,15.0,1,60.0,60.0,0.0,1,60.0,60.0,0.0,1,60.0,60.0,0.0,1,60.0,60.0,0.0,21,1120.9189999999999
2025-01-14,2025-05-12,FULT,O:FULT250221C00020000,2025-02-21,C,20.0,2,12.5,12.5,0.707,4,18.75,13.0,12.176,5,22.6,13.0,13.612,5,22.6,13.0,13.612,21,53.135000000000005
2025-01-14,2025-05-12,FULT,O:FULT250221C00025000,2025-02-21,C,25.0,1,16.0,16.0,0.0,1,16.0,16.0,0.0,1,16.0,16.0,0.0,1,16.0,16.0,0.0,21,53.135000000000005
