security,option_trade_value_bin,itm,otm,cnt,itm_1,itm_2,itm_3,itm_pct,min_trade_value,med_trade_value,stddev_trade_value
BMY,4,2.0,7.0,9.0,1.0,1.0,0.0,0.22,55770.0,64000.0,8805.28
BMY,5,6.0,2.0,8.0,4.0,0.0,2.0,0.75,46644.0,49350.0,3096.37
BMY,6,2.0,6.0,8.0,1.0,0.0,1.0,0.25,40040.0,44442.5,2134.51
BMY,7,8.0,0.0,8.0,7.0,0.0,1.0,1.0,35478.0,37730.0,1502.74
BMY,8,5.0,3.0,8.0,2.0,1.0,2.0,0.63,33640.0,34307.5,642.97
BMY,9,7.0,1.0,8.0,4.0,3.0,0.0,0.88,30012.0,31820.0,1316.69
BMY,10,5.0,3.0,8.0,3.0,0.0,2.0,0.63,27805.0,28860.0,948.85
BNTX,1,4.0,2.0,6.0,0.0,1.0,3.0,0.67,90000.0,113000.0,42745.22
BNTX,2,3.0,2.0,5.0,0.0,0.0,3.0,0.6,69222.0,71500.0,4930.88
BNTX,3,3.0,2.0,5.0,1.0,0.0,2.0,0.6,60000.0,63195.0,3091.82
BNTX,4,4.0,1.0,5.0,1.0,0.0,3.0,0.8,48000.0,50000.0,5279.39
BNTX,5,5.0,0.0,5.0,0.0,0.0,5.0,1.0,44000.0,44330.0,1859.19
BNTX,6,3.0,2.0,5.0,2.0,0.0,1.0,0.6,39500.0,41040.0,1734.81
BNTX,7,4.0,1.0,5.0,2.0,0.0,2.0,0.8,30616.0,34000.0,2198.47
BNTX,8,2.0,3.0,5.0,0.0,0.0,2.0,0.4,28320.0,28810.0,986.68
BNTX,9,1.0,4.0,5.0,1.0,0.0,0.0,0.2,27025.0,28000.0,544.2
BNTX,10,3.0,2.0,5.0,1.0,0.0,2.0,0.6,26000.0,26400.0,451.88
GSK,1,2.0,1.0,3.0,1.0,0.0,1.0,0.67,220000.0,325000.0,113836.51
GSK,2,1.0,2.0,3.0,1.0,0.0,0.0,0.33,150000.0,157000.0,36046.87
GSK,3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,127500.0,136560.0,12812.77
GSK,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,120000.0,120000.0,0.0
GSK,5,1.0,1.0,2.0,0.0,0.0,1.0,0.5,80475.0,95237.5,20877.33
GSK,6,1.0,1.0,2.0,0.0,0.0,1.0,0.5,69059.0,71904.5,4024.14
GSK,7,1.0,1.0,2.0,0.0,0.0,1.0,0.5,60000.0,63062.5,4331.03
GSK,8,1.0,1.0,2.0,0.0,0.0,1.0,0.5,45500.0,48040.0,3592.1
GSK,9,1.0,1.0,2.0,1.0,0.0,0.0,0.5,44400.0,44700.0,424.26
GSK,10,1.0,1.0,2.0,0.0,0.0,1.0,0.5,39730.0,40421.0,977.22
LLY,1,11.0,10.0,21.0,2.0,4.0,5.0,0.52,520000.0,790000.0,716542.04
LLY,2,11.0,10.0,21.0,8.0,0.0,3.0,0.52,387900.0,423690.0,35183.52
LLY,3,8.0,13.0,21.0,7.0,0.0,1.0,0.38,313028.0,344256.0,22677.89
LLY,4,10.0,11.0,21.0,6.0,1.0,3.0,0.48,252500.0,268650.0,17916.36
LLY,5,11.0,9.0,20.0,5.0,0.0,6.0,0.55,218880.0,230886.0,10133.89
LLY,6,10.0,10.0,20.0,4.0,2.0,4.0,0.5,192500.0,200585.0,7967.56
LLY,7,12.0,8.0,20.0,7.0,0.0,5.0,0.6,177942.0,182925.0,4328.99
LLY,8,13.0,7.0,20.0,6.0,3.0,4.0,0.65,166396.0,171872.5,3035.35
LLY,9,10.0,10.0,20.0,5.0,0.0,5.0,0.5,153546.0,158682.0,4227.42
LLY,10,7.0,13.0,20.0,6.0,0.0,1.0,0.35,140760.0,146875.0,3708.38
MRK,1,15.0,4.0,19.0,10.0,1.0,4.0,0.79,356250.0,945000.0,697629.16
MRK,2,11.0,8.0,19.0,5.0,3.0,3.0,0.58,128960.0,216000.0,57916.32
MRK,3,9.0,10.0,19.0,2.0,0.0,7.0,0.47,80910.0,108559.0,13782.79
MRK,4,11.0,8.0,19.0,5.0,2.0,4.0,0.58,61939.0,67886.0,6094.13
MRK,5,13.0,5.0,18.0,4.0,3.0,6.0,0.72,53130.0,57300.0,3065.09
MRK,6,9.0,9.0,18.0,6.0,0.0,3.0,0.5,46920.0,48787.5,1338.24
MRK,7,10.0,8.0,18.0,5.0,3.0,2.0,0.56,39285.0,43350.0,2328.62
MRK,8,9.0,9.0,18.0,2.0,1.0,6.0,0.5,35112.0,36917.5,1365.33
MRK,9,10.0,8.0,18.0,3.0,1.0,6.0,0.56,31872.0,33925.5,1159.06
MRK,10,8.0,10.0,18.0,4.0,1.0,3.0,0.44,28728.0,29962.0,837.19
MRNA,1,8.0,15.0,23.0,4.0,1.0,3.0,0.35,908920.0,1248000.0,636033.0
MRNA,2,15.0,8.0,23.0,5.0,3.0,7.0,0.65,594000.0,688240.0,104263.06
MRNA,3,9.0,14.0,23.0,4.0,2.0,3.0,0.39,409305.0,496800.0,59253.21
MRNA,4,8.0,15.0,23.0,0.0,2.0,6.0,0.35,280525.0,351840.0,38487.24
MRNA,5,8.0,15.0,23.0,3.0,0.0,5.0,0.35,198000.0,228640.0,22429.13
MRNA,6,6.0,17.0,23.0,3.0,1.0,2.0,0.26,155100.0,166025.0,12012.74
MRNA,7,6.0,17.0,23.0,2.0,0.0,4.0,0.26,128280.0,139360.0,8851.71
MRNA,8,7.0,16.0,23.0,2.0,1.0,4.0,0.3,94500.0,104175.0,9670.4
MRNA,9,7.0,15.0,22.0,2.0,2.0,3.0,0.32,75640.0,87730.0,5459.14
MRNA,10,9.0,13.0,22.0,2.0,1.0,6.0,0.41,66402.0,71880.0,2598.95
NVAX,1,1.0,2.0,3.0,0.0,0.0,1.0,0.33,376000.0,479940.0,68027.45
NVAX,2,1.0,2.0,3.0,0.0,0.0,1.0,0.33,256000.0,272000.0,20132.89
NVAX,3,2.0,1.0,3.0,1.0,0.0,1.0,0.67,165000.0,200000.0,33511.19
NVAX,4,2.0,1.0,3.0,0.0,0.0,2.0,0.67,140000.0,150000.0,6429.1
NVAX,5,1.0,2.0,3.0,0.0,0.0,1.0,0.33,127500.0,128000.0,2466.44
NVAX,6,1.0,2.0,3.0,0.0,1.0,0.0,0.33,75548.0,88000.0,9844.02
NVAX,7,1.0,2.0,3.0,1.0,0.0,0.0,0.33,68885.0,69300.0,1691.42
NVAX,8,0.0,3.0,3.0,0.0,0.0,0.0,0.0,51250.0,56000.0,7542.26
NVAX,9,0.0,3.0,3.0,0.0,0.0,0.0,0.0,39995.0,41748.0,1390.87
NVAX,10,0.0,3.0,3.0,0.0,0.0,0.0,0.0,31200.0,32000.0,4385.93
NVS,1,2.0,1.0,3.0,1.0,0.0,1.0,0.67,107640.0,114900.0,49525.53
NVS,2,1.0,1.0,2.0,1.0,0.0,0.0,0.5,86435.0,88217.5,2520.84
NVS,3,1.0,1.0,2.0,0.0,0.0,1.0,0.5,76700.0,78910.0,3125.41
NVS,4,1.0,1.0,2.0,1.0,0.0,0.0,0.5,75000.0,75625.0,883.88
NVS,5,2.0,0.0,2.0,1.0,0.0,1.0,1.0,67500.0,69555.0,2906.21
NVS,6,2.0,0.0,2.0,1.0,1.0,0.0,1.0,51208.0,51341.5,188.8
NVS,7,1.0,1.0,2.0,0.0,0.0,1.0,0.5,50000.0,50245.0,346.48
NVS,8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,44814.0,45162.0,492.15
NVS,9,1.0,1.0,2.0,1.0,0.0,0.0,0.5,42636.0,42843.0,292.74
NVS,10,1.0,1.0,2.0,0.0,0.0,1.0,0.5,39440.0,39610.0,240.42
PFE,1,10.0,11.0,21.0,6.0,2.0,2.0,0.48,208464.0,297690.0,149019.67
PFE,2,9.0,12.0,21.0,5.0,1.0,3.0,0.43,131220.0,165000.0,24724.24
PFE,3,7.0,13.0,20.0,2.0,1.0,4.0,0.35,102000.0,115481.0,10083.73
PFE,4,8.0,12.0,20.0,2.0,0.0,6.0,0.4,78000.0,91391.5,8947.74
PFE,5,9.0,11.0,20.0,2.0,2.0,5.0,0.45,62000.0,71605.5,4120.61
PFE,6,12.0,8.0,20.0,3.0,2.0,7.0,0.6,49910.0,53907.5,2781.75
PFE,7,11.0,9.0,20.0,6.0,0.0,5.0,0.55,40376.0,45000.0,2798.42
PFE,8,8.0,12.0,20.0,3.0,2.0,3.0,0.4,36550.0,38136.0,1290.88
PFE,9,6.0,14.0,20.0,3.0,0.0,3.0,0.3,32810.0,34665.0,1088.59
PFE,10,8.0,12.0,20.0,5.0,0.0,3.0,0.4,29980.0,30960.0,989.1
SNY,1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,88377.0,152811.0,91123.44
SNY,2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,69345.0,74530.5,7333.4
SNY,3,1.0,1.0,2.0,0.0,0.0,1.0,0.5,62000.0,64000.0,2828.43
SNY,4,2.0,0.0,2.0,0.0,0.0,2.0,1.0,50500.0,54187.5,5214.91
SNY,5,2.0,0.0,2.0,1.0,0.0,1.0,1.0,39270.0,44660.0,7622.61
SNY,6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,37500.0,37500.0,
SNY,7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,34200.0,34200.0,
SNY,8,1.0,0.0,1.0,0.0,0.0,1.0,1.0,34020.0,34020.0,
SNY,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,32435.0,32435.0,
SNY,10,1.0,0.0,1.0,0.0,0.0,1.0,1.0,32060.0,32060.0,
