security,sector,industry,num_trades,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value,trade_volume_bin,cluster,final_cluster,trade_volume_bin_rank
SNBR,Consumer Discretionary,Furniture,27,19446.0,24702.0,38855.7,43197.57,43631.76,43675.18,43679.52,15,0.0,15__0,11
SNCR,Computer and Technology,Internet - Software,1,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,0,2.0,0__2,14
SNCY,Transportation,Transportation - Airline,8,8456.0,10668.0,12437.6,12835.76,12875.58,12879.56,12879.96,10,0.0,10__0,12
SNDK,Business Services,Technology Services,226,20720.0,29828.75,102037.5,1299284.0,1488208.4,1507100.84,1508990.08,25,0.0,25__0,9
SNDL,Medical,Medical - Products,3,5612.8,5724.9,5814.58,5834.76,5836.78,5836.98,5837.0,5,0.0,5__0,13
SNDR,Transportation,Transportation - Services,1,3128.0,3128.0,3128.0,3128.0,3128.0,3128.0,3128.0,0,2.0,0__2,14
SNDX,Medical,Medical - Biomedical and Genetics,137,33135.0,61000.0,212385.6,422067.24,447989.72,450581.97,450841.2,20,1.0,20__1,10
SNEX,Finance,Financial - Miscellaneous Services,1,3280.0,3280.0,3280.0,3280.0,3280.0,3280.0,3280.0,0,2.0,0__2,14
SNN,Medical,Medical - Products,1,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,4200.0,0,2.0,0__2,14
SNOW,Computer and Technology,Internet - Software,46023,16375.0,26173.9,77097.5,402772.36,904925.26,1367796.97,1535422.9,45,0.0,45__0,5
SNPS,Computer and Technology,Computer - Software,3553,16772.0,26118.0,77996.0,258568.8,465040.8,471754.08,472425.41,35,0.0,35__0,7
SNV,Finance,Banks - Southeast,57,14046.0,18348.8,34419.44,37947.94,38300.79,38336.08,38339.61,20,0.0,20__0,10
SNX,Computer and Technology,Electronics - Miscellaneous Products,54,7920.0,9072.0,11046.0,11904.6,11990.46,11999.05,11999.9,15,0.0,15__0,11
SNY,Medical,Large Cap Pharmaceuticals,208,30000.0,38650.5,78990.03,190569.32,214577.43,216978.24,217218.32,25,0.0,25__0,9
SO,Utilities,Utility - Electric Power,301,28000.0,47880.0,99920.0,141700.0,150070.0,150907.0,150990.7,25,0.0,25__0,9
SOBO,Oils-Energy,Oil and Gas - Production and Pipelines,1,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,0,2.0,0__2,14
SOC,Oils-Energy,Oil and Gas - Integrated - United States,981,16875.0,29097.0,108822.4,289436.56,495143.66,515714.37,517771.44,30,2.0,30__2,8
SOFI,Finance,Financial - Miscellaneous Services,18035,13860.0,20697.2,45714.5,214895.7,2371173.8,4015544.0,4015544.0,45,2.0,45__2,5
SOGP,Consumer Discretionary,Audio Video Production,2,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,5,0.0,5__0,13
SOLV,Medical,Medical Services,167,9840.0,13850.0,92672.0,318875.0,346887.5,349688.75,349968.87,20,1.0,20__1,10
SON,Industrial Products,Containers - Paper and Packaging,1,3168.0,3168.0,3168.0,3168.0,3168.0,3168.0,3168.0,0,2.0,0__2,14
SOND,Consumer Discretionary,Leisure and Recreation Services,3,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5,0.0,5__0,13
SONO,Consumer Discretionary,Audio Video Production,35,13848.0,28476.0,30973.2,31897.32,31989.73,31998.97,31999.9,15,0.0,15__0,11
SONY,Consumer Discretionary,Audio Video Production,143,11050.2,20318.5,70817.0,92146.34,94156.63,94357.66,94377.77,20,0.0,20__0,10
SOPH,Medical,Medical Info Systems,2,3975.0,3987.5,3997.5,3999.75,3999.98,4000.0,4000.0,5,0.0,5__0,13
SOUN,Computer and Technology,Computers - IT Services,12729,14700.0,22730.0,61284.6,178082.08,1116430.4,1776886.16,1851688.62,40,0.0,40__0,6
SPB,Consumer Discretionary,Consumer Products - Discretionary,27,8247.0,9138.5,13003.3,14125.33,14237.53,14248.75,14249.88,15,0.0,15__0,11
SPCE,Aerospace,Aerospace - Defense,368,13000.0,19154.0,29244.96,40225.6,41746.96,41899.1,41914.31,25,0.0,25__0,9
SPG,Finance,REIT and Equity Trust - Retail,354,16434.0,20263.7,29675.8,35817.81,36219.38,36259.54,36263.55,25,0.0,25__0,9
SPGI,Finance,Securities and Exchanges,605,18622.8,42900.0,110905.6,250886.4,315248.64,321684.86,322328.49,30,0.0,30__0,8
SPHR,Consumer Discretionary,Media Conglomerates,572,18413.4,38654.9,94820.88,310000.0,310000.0,310000.0,310000.0,30,0.0,30__0,8
SPIR,Aerospace,Aerospace - Defense,82,14490.0,20256.75,23266.11,23316.41,23321.44,23321.94,23321.99,20,0.0,20__0,10
SPNS,Computer and Technology,Computer - Software,2,3192.0,3196.0,3199.2,3199.92,3199.99,3200.0,3200.0,5,0.0,5__0,13
SPNT,Finance,Insurance - Multi line,6,5400.0,5700.0,5940.0,5994.0,5999.4,5999.94,5999.99,10,0.0,10__0,12
SPOT,Computer and Technology,Internet - Software,31626,18280.5,28275.0,77750.0,309520.0,962844.0,4755527.71,5497552.77,45,0.0,45__0,5
SPR,Aerospace,Aerospace - Defense Equipment,11,25000.0,44345.0,59821.0,63303.1,63651.31,63686.13,63689.61,10,0.0,10__0,12
SPRO,Medical,Medical - Biomedical and Genetics,10,6855.0,7327.5,7705.5,7790.55,7799.06,7799.91,7799.99,10,0.0,10__0,12
SPRY,Medical,Medical - Drugs,37,17938.0,28348.8,38307.84,41630.78,41963.08,41996.31,41999.63,15,0.0,15__0,11
SPSC,Business Services,Business - Services,20,19800.0,20623.0,33132.6,35947.26,36228.73,36256.87,36259.69,15,0.0,15__0,11
SPT,Computer and Technology,Internet - Services,24,13526.0,15977.0,17324.0,17572.4,17597.24,17599.72,17599.97,15,0.0,15__0,11
SPWH,Retail-Wholesale,Retail - Apparel and Shoes,2,4425.0,4462.5,4492.5,4499.25,4499.93,4499.99,4500.0,5,0.0,5__0,13
SPXC,Business Services,Technology Services,10,36644.0,39182.0,41212.4,41669.24,41714.92,41719.49,41719.95,10,0.0,10__0,12
SQM,Basic Materials,Chemical - Specialty,28,8408.8,11078.6,14055.0,14905.5,14990.55,14999.05,14999.91,15,0.0,15__0,11
SR,Utilities,Utility - Gas Distribution,1,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,16500.0,0,0.0,0__0,14
SRAD,Consumer Discretionary,Leisure and Recreation Products,87,16341.0,20796.1,29105.6,29910.56,29991.06,29999.11,29999.91,20,0.0,20__0,10
SRE,Utilities,Utility - Gas Distribution,62,13325.0,17910.0,73703.37,91371.84,93138.68,93315.37,93333.04,20,0.0,20__0,10
SRG,Finance,REIT and Equity Trust - Other,2,12177.9,12650.45,13028.49,13113.55,13122.05,13122.91,13122.99,5,0.0,5__0,13
SRL,Conglomerates,Diversified Operations,1,4475.0,4475.0,4475.0,4475.0,4475.0,4475.0,4475.0,0,2.0,0__2,14
SRPT,Medical,Medical - Biomedical and Genetics,1109,13001.0,20656.8,41911.2,349048.0,410014.0,414501.4,414950.14,30,2.0,30__2,8
SRRK,Medical,Medical - Biomedical and Genetics,270,11565.0,22420.05,144297.0,430481.15,497458.11,504155.81,504825.58,25,0.0,25__0,9
SRTS,Medical,Medical - Instruments,4,4949.0,4974.5,4994.9,4999.49,4999.95,4999.99,5000.0,5,0.0,5__0,13
SSD,Construction,Building Products - Miscellaneous,9,9120.0,10860.0,12252.0,12565.2,12596.52,12599.65,12599.97,10,0.0,10__0,12
SSL,Oils-Energy,Oil and Gas - Integrated - International,1,4490.0,4490.0,4490.0,4490.0,4490.0,4490.0,4490.0,0,2.0,0__2,14
SSNC,Computer and Technology,Computer - Software,52,11684.0,16403.15,17147.61,17509.76,17545.98,17549.6,17549.96,15,0.0,15__0,11
SSP,Consumer Discretionary,Broadcast Radio and Television,1,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0,2.0,0__2,14
SSRM,Basic Materials,Mining - Miscellaneous,22,15447.5,34240.0,35832.0,35983.2,35998.32,35999.83,35999.98,15,0.0,15__0,11
SSTI,Industrial Products,Security and Safety Services,2,20383.5,20629.25,20825.85,20870.09,20874.51,20874.95,20875.0,5,3.0,5__3,13
SSTK,Computer and Technology,Internet - Content,11,32410.0,38660.0,43660.0,44785.0,44897.5,44908.75,44909.88,10,0.0,10__0,12
SSYS,Industrial Products,Commercial Printing,1,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,9650.0,0,0.0,0__0,14
ST,Computer and Technology,Instruments - Control,105,11921.6,16807.4,18179.88,127332.8,138733.28,139873.33,139987.33,20,0.0,20__0,10
STAA,Medical,Medical - Dental Supplies,66,19760.0,39315.0,99610.0,158461.0,164346.1,164934.61,164993.46,20,0.0,20__0,10
STAG,Finance,REIT and Equity Trust - Other,2,5745.0,5872.5,5974.5,5997.45,5999.75,5999.97,6000.0,5,0.0,5__0,13
STE,Medical,Medical - Instruments,55,15484.0,62245.6,177990.0,181149.0,181464.9,181496.49,181499.65,15,0.0,15__0,11
STEM,Computer and Technology,Computers - IT Services,14,12770.6,17822.7,23564.54,24856.45,24985.65,24998.56,24999.86,10,0.0,10__0,12
STEP,Finance,Financial - Miscellaneous Services,8,10192.0,10871.0,11414.2,11536.42,11548.64,11549.86,11549.99,10,0.0,10__0,12
STIM,Medical,Medical - Instruments,5,6040.0,6520.0,6904.0,6990.4,6999.04,6999.9,6999.99,5,0.0,5__0,13
STLA,Auto-Tires-Trucks,Automotive - Foreign,202,29836.5,49749.0,92370.85,122265.17,122778.02,122829.3,122834.43,25,0.0,25__0,9
