security,sector,industry,level_1,unusual_baseline,trade_value_category,number_of_trades
CWST,Business Services,Waste Removal Services,0,,,
CX,Construction,Building Products - Concrete and Aggregates,0,8151.000000000001,8. p75_trade_value,6.0
CXAI,Business Services,Technology Services,0,,,
CXDO,Computer and Technology,Internet - Services,0,,,
CXM,Business Services,Technology Services,0,,,
CXT,Business Services,Technology Services,0,3600.0,1. p999999_trade_value,1.0
CXW,Finance,REIT and Equity Trust - Other,0,120000.0,5. p99_trade_value,2.0
CYBN,Medical,Medical - Biomedical and Genetics,0,,,
CYBR,Computer and Technology,Security,0,177100.0,1. p999999_trade_value,1.0
CYD,Auto-Tires-Trucks,Automotive - Original Equipment,0,15000.0,1. p999999_trade_value,1.0
CYH,Medical,Medical - Hospital,0,,,
CYRX,Transportation,Transportation - Services,0,3690.0,1. p999999_trade_value,1.0
CYTK,Medical,Medical - Biomedical and Genetics,0,,,
CZR,Consumer Discretionary,Leisure and Recreation Services,0,,,
D,Utilities,Utility - Electric Power,0,,,
DAC,Transportation,Transportation - Shipping,0,5050.0,8. p75_trade_value,4.0
DADA,Retail-Wholesale,Internet - Commerce,0,,,
DAKT,Computer and Technology,Electronics - Miscellaneous Products,0,42500.0,6. p95_trade_value,3.0
DAL,Transportation,Transportation - Airline,0,,,
DAN,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
DAO,Business Services,Technology Services,0,,,
DAR,Consumer Staples,Food - Miscellaneous,0,8064.0,8. p75_trade_value,43.0
DASH,Computer and Technology,Internet - Services,0,1074000.0,3. p9999_trade_value,2.0
DAVA,Computer and Technology,Computers - IT Services,0,,,
DAVE,Business Services,Technology Services,0,,,
DAWN,Medical,Medical - Biomedical and Genetics,0,,,
DAY,Computer and Technology,Internet - Software,0,15500.0,6. p95_trade_value,2.0
DB,Finance,Banks - Foreign,0,,,
DBD,Computer and Technology,Internet - Software,0,4400.0,8. p75_trade_value,6.0
DBI,Retail-Wholesale,Retail - Apparel and Shoes,0,66000.0,6. p95_trade_value,2.0
DBRG,Finance,REIT and Equity Trust,0,160000.0,5. p99_trade_value,2.0
DBX,Computer and Technology,Internet - Services,0,682000.0000000001,1. p999999_trade_value,1.0
DC,Basic Materials,Mining - Gold,0,,,
DCGO,Medical,Medical Services,0,,,
DCI,Industrial Products,Pollution Control,0,8189.999999999999,1. p999999_trade_value,1.0
DCO,Aerospace,Aerospace - Defense Equipment,0,,,
DCOM,Finance,Banks - Southeast,0,,,
DCTH,Medical,Medical - Instruments,0,8469.999999999998,2. p99999_trade_value,1.0
DD,Basic Materials,Chemical - Diversified ,0,150660.0,1. p999999_trade_value,1.0
DDD,Industrial Products,Commercial Printing,0,7230.0,8. p75_trade_value,3.0
DDOG,Computer and Technology,Internet - Software,0,,,
DE,Industrial Products,Manufacturing - Farm Equipment,0,,,
DEA,Finance,REIT and Equity Trust - Other,0,,,
DECK,Retail-Wholesale,Retail - Apparel and Shoes,0,,,
DEI,Finance,REIT and Equity Trust - Other,0,,,
DELL,Computer and Technology,Computer - Micro Computers,0,651000.0,1. p999999_trade_value,1.0
DEO,Consumer Staples,Beverages - Alcohol,0,,,
DFDV,Computer and Technology,Internet - Software,0,49750.0,1. p999999_trade_value,1.0
DFH,Construction,Building Products - Home Builders,0,,,
DFIN,Computer and Technology,Internet - Software and Services,0,,,
DG,Retail-Wholesale,Retail - Discount Stores,0,,,
DGX,Medical,Medical - Outpatient and Home Healthcare,0,,,
DHI,Construction,Building Products - Home Builders,0,481500.0,1. p999999_trade_value,1.0
DHR,Medical,Medical Services,0,381468.0,4. p999_trade_value,3.0
DHT,Transportation,Transportation - Shipping,0,,,
DIN,Retail-Wholesale,Retail - Restaurants,0,18000.0,8. p75_trade_value,5.0
DINO,Oils-Energy,Oil and Gas - Refining and Marketing,0,,,
DIOD,Computer and Technology,Electronics - Semiconductors,0,,,
DIS,Consumer Discretionary,Media Conglomerates,0,677430.0,3. p9999_trade_value,2.0
DJT,Computer and Technology,Internet - Software,0,,,
DK,Oils-Energy,Oil and Gas - Refining and Marketing,0,,,
DKL,Oils-Energy,Oil and Gas - Production Pipeline - MLB,0,31680.0,8. p75_trade_value,2.0
DKNG,Consumer Discretionary,Gaming,0,,,
DKS,Retail-Wholesale,Retail - Miscellaneous,0,,,
DLB,Consumer Discretionary,Audio Video Production,0,,,
DLHC,Business Services,Staffing Firms,0,,,
DLO,Business Services,Financial Transaction Services,0,,,
DLR,Finance,REIT and Equity Trust - Other,0,,,
DLTR,Retail-Wholesale,Retail - Discount Stores,0,,,
DLX,Business Services,Business - Office Products,0,4148.0,1. p999999_trade_value,1.0
DMRC,Industrial Products,Security and Safety Services,0,,,
DNA,Medical,Medical - Biomedical and Genetics,0,76230.0,5. p99_trade_value,2.0
DNB,Business Services,Business - Information Services,0,79820.0,1. p999999_trade_value,1.0
DNLI,Medical,Medical - Biomedical and Genetics,0,41000.0,8. p75_trade_value,3.0
DNN,Basic Materials,Mining - Miscellaneous,0,25000.0,8. p75_trade_value,7.0
DNOW,Industrial Products,Manufacturing - General Industrial ,0,,,
DNTH,Medical,Medical - Biomedical and Genetics,0,26250.0,1. p999999_trade_value,1.0
DNUT,Consumer Staples,Consumer Products - Staples,0,11060.0,7. p90_trade_value,2.0
DOC,Finance,REIT and Equity Trust - Other,0,6675.0,8. p75_trade_value,16.0
DOCN,Computer and Technology,Internet - Software,0,,,
DOCS,Medical,Medical Services,0,190000.0,4. p999_trade_value,2.0
DOCU,Computer and Technology,Internet - Software,0,382120.0,1. p999999_trade_value,1.0
DOLE,Consumer Staples,Agriculture - Operations,0,,,
DOMO,Computer and Technology,Internet - Software,0,,,
DOOO,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
DORM,Auto-Tires-Trucks,Automotive - Replacement Parts,0,30000.0,8. p75_trade_value,2.0
DOUG,Finance,Real Estate - Operations,0,,,
DOV,Industrial Products,Manufacturing - General Industrial ,0,387000.0,1. p999999_trade_value,1.0
DOW,Basic Materials,Chemical - Diversified ,0,,,
DOX,Computer and Technology,Computers - IT Services,0,45000.0,1. p999999_trade_value,1.0
DOYU,Consumer Discretionary,Gaming,0,,,
DPZ,Retail-Wholesale,Retail - Restaurants,0,623700.0,1. p999999_trade_value,1.0
DQ,Basic Materials,Chemical - Specialty,0,41610.0,6. p95_trade_value,15.0
DRD,Basic Materials,Mining - Gold,0,28000.0,1. p999999_trade_value,1.0
DRI,Retail-Wholesale,Retail - Restaurants,0,,,
DRS,Aerospace,Aerospace - Defense Equipment,0,5800.0,8. p75_trade_value,2.0
DRVN,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,0,4320.0,1. p999999_trade_value,1.0
DSGX,Computer and Technology,Computer - Software,0,15741.0,7. p90_trade_value,3.0
DSP,Business Services,Technology Services,0,,,
DSX,Transportation,Transportation - Shipping,0,,,
DT,Computer and Technology,Computers - IT Services,0,,,
DTE,Utilities,Utility - Electric Power,0,72720.0,1. p999999_trade_value,1.0
DTM,Oils-Energy,Oil and Gas - Integrated - United States,0,15730.000000000002,1. p999999_trade_value,1.0
DUK,Utilities,Utility - Electric Power,0,80000.0,5. p99_trade_value,5.0
DUOL,Business Services,Technology Services,0,,,
DV,Computer and Technology,Internet - Software,0,550000.0,1. p999999_trade_value,1.0
DVA,Medical,Medical - Outpatient and Home Healthcare,0,396440.0,1. p999999_trade_value,1.0
DVAX,Medical,Medical - Biomedical and Genetics,0,9690.0,8. p75_trade_value,3.0
DVN,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,,,
DWTX,Medical,Medical - Biomedical and Genetics,0,,,
DXC,Computer and Technology,Computers - IT Services,0,,,
DXCM,Medical,Medical - Instruments,0,384000.0,4. p999_trade_value,3.0
DXPE,Industrial Products,Manufacturing - General Industrial ,0,17200.0,7. p90_trade_value,7.0
DY,Construction,Building Products - Heavy Construction,0,,,
DYAI,Medical,Medical - Biomedical and Genetics,0,,,
DYN,Medical,Medical - Drugs,0,489755.0,5. p99_trade_value,2.0
EA,Consumer Discretionary,Gaming,0,580000.0,4. p999_trade_value,3.0
EAT,Retail-Wholesale,Retail - Restaurants,0,,,
EB,Computer and Technology,Internet - Services,0,6500.0,1. p999999_trade_value,2.0
EBAY,Retail-Wholesale,Internet - Commerce,0,807360.0,1. p999999_trade_value,1.0
EBC,Finance,Banks - Northeast,0,5500.000000000001,8. p75_trade_value,6.0
EBF,Industrial Products,Office Supplies,0,,,
EBS,Medical,Medical - Biomedical and Genetics,0,,,
EC,Oils-Energy,Oil and Gas - Integrated - International,0,5135.0,8. p75_trade_value,2.0
ECL,Basic Materials,Chemical - Specialty,0,25500.0,5. p99_trade_value,2.0
ECPG,Finance,Financial - Consumer Loans,0,10400.0,8. p75_trade_value,2.0
ED,Utilities,Utility - Electric Power,0,12710.0,7. p90_trade_value,14.0
EDAP,Medical,Medical - Instruments,0,,,
EDIT,Medical,Medical - Biomedical and Genetics,0,,,
EDU,Consumer Discretionary,Schools,0,,,
EEFT,Finance,Financial - Miscellaneous Services,0,20470.0,1. p999999_trade_value,1.0
EFC,Finance,REIT and Equity Trust,0,19980.0,1. p999999_trade_value,1.0
EFSC,Finance,Banks - Midwest,0,4500.0,1. p999999_trade_value,1.0
EFX,Business Services,Consulting Services,0,,,
EG,Finance,Insurance - Multi line,0,660000.0000000001,1. p999999_trade_value,1.0
EGO,Basic Materials,Mining - Gold,0,32250.0,6. p95_trade_value,2.0
EGP,Finance,REIT and Equity Trust - Other,0,5259.999999999999,2. p99999_trade_value,1.0
EH,Aerospace,Aerospace - Defense Equipment,0,92540.0,4. p999_trade_value,2.0
EHC,Medical,Medical - Outpatient and Home Healthcare,0,,,
EHTH,Finance,Insurance - Brokerage,0,,,
EIX,Utilities,Utility - Electric Power,0,,,
EL,Consumer Staples,Cosmetics,0,,,
ELAN,Medical,Medical - Outpatient and Home Healthcare,0,,,
ELDN,Medical,Medical - Biomedical and Genetics,0,,,
ELF,Consumer Staples,Cosmetics,0,,,
ELME,Finance,REIT and Equity Trust - Residential,0,6000.0,1. p999999_trade_value,1.0
ELS,Finance,REIT and Equity Trust - Residential,0,,,
ELV,Medical,Medical Services,0,480000.0,4. p999_trade_value,3.0
EME,Construction,Building Products - Heavy Construction,0,91999.99999999999,1. p999999_trade_value,1.0
EMN,Basic Materials,Chemical - Diversified ,0,77350.0,1. p999999_trade_value,1.0
EMR,Industrial Products,Manufacturing - Electronics,0,,,
ENB,Oils-Energy,Oil and Gas - Production and Pipelines,0,25389.0,6. p95_trade_value,3.0
ENOV,Medical,Medical Info Systems,0,,,
ENPH,Oils-Energy,Solar,0,442000.0,3. p9999_trade_value,2.0
ENS,Industrial Products,Manufacturing - Electronics,0,,,
ENSG,Medical,Medical - Nursing Homes,0,6785.000000000001,8. p75_trade_value,4.0
ENTG,Computer and Technology,Electronics - Manufacturing Machinery,0,,,
ENVA,Finance,Financial - Consumer Loans,0,6250.0,8. p75_trade_value,2.0
ENVX,Oils-Energy,Alternative Energy - Other,0,220000.0,1. p999999_trade_value,1.0
EOG,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,,,
EOLS,Medical,Medical - Products,0,,,
EOSE,Industrial Products,Industrial Services,0,150000.0,1. p999999_trade_value,1.0
EPAM,Computer and Technology,Computers - IT Services,0,18240.0,7. p90_trade_value,27.0
EPD,Oils-Energy,Oil and Gas - Production Pipeline - MLB,0,52200.0,1. p999999_trade_value,1.0
EPR,Finance,REIT and Equity Trust - Retail,0,,,
EQH,Finance,Insurance - Multi line,0,7650.0,8. p75_trade_value,4.0
EQIX,Finance,REIT and Equity Trust - Retail,0,,,
EQNR,Oils-Energy,Oil and Gas - Refining and Marketing,0,144840.0,5. p99_trade_value,2.0
EQR,Finance,REIT and Equity Trust - Residential,0,6000.0,7. p90_trade_value,2.0
EQT,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,416520.0,4. p999_trade_value,2.0
EQX,Basic Materials,Mining - Gold,0,,,
ERIC,Computer and Technology,Wireless Equipment,0,46500.0,1. p999999_trade_value,1.0
ERIE,Finance,Insurance - Brokerage,0,,,
ERII,Industrial Products,Pollution Control,0,5000.0,8. p75_trade_value,4.0
ERJ,Aerospace,Aerospace - Defense,0,,,
ERO,Basic Materials,Mining - Non Ferrous,0,,,
ES,Utilities,Utility - Electric Power,0,,,
ESAB,Industrial Products,Metal Products - Procurement and Fabrication,0,24480.0,1. p999999_trade_value,1.0
ESE,Industrial Products,Manufacturing - Electronics,0,,,
ESI,Basic Materials,Chemical - Specialty,0,,,
ESLT,Aerospace,Aerospace - Defense Equipment,0,13200.0,7. p90_trade_value,9.0
ESPR,Medical,Medical - Drugs,0,8964.0,1. p999999_trade_value,1.0
ESS,Finance,REIT and Equity Trust - Residential,0,,,
ESTA,Medical,Medical Services,0,,,
ESTC,Computer and Technology,Internet - Software,0,355950.0,1. p999999_trade_value,2.0
ET,Oils-Energy,Oil and Gas - Production Pipeline - MLB,0,105000.0,5. p99_trade_value,11.0
ETD,Retail-Wholesale,Retail - Home Furnishings,0,4000.0,1. p999999_trade_value,1.0
ETN,Industrial Products,Manufacturing - Electronics,0,480000.0,4. p999_trade_value,5.0
ETNB,Medical,Medical - Biomedical and Genetics,0,11940.0,1. p999999_trade_value,1.0
ETON,Medical,Medical - Biomedical and Genetics,0,,,
ETOR,Finance,Insurance - Brokerage,0,117000.0,1. p999999_trade_value,1.0
ETR,Utilities,Utility - Electric Power,0,68750.0,1. p999999_trade_value,1.0
ETSY,Retail-Wholesale,Internet - Commerce,0,885500.0,1. p999999_trade_value,1.0
EU,Basic Materials,Mining - Miscellaneous,0,5478.0,1. p999999_trade_value,1.0
EVER,Finance,Insurance - Multi line,0,,,
EVGO,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
EVH,Computer and Technology,Internet - Software,0,95600.0,1. p999999_trade_value,1.0
EVLV,Computer and Technology,Computers - IT Services,0,17988.0,6. p95_trade_value,2.0
EVR,Finance,Financial - Investment Bank,0,445670.0,1. p999999_trade_value,1.0
EVRG,Utilities,Utility - Electric Power,0,10125.0,7. p90_trade_value,3.0
EVTC,Business Services,Financial Transaction Services,0,4000.0,1. p999999_trade_value,1.0
EW,Medical,Medical - Instruments,0,,,
EWBC,Finance,Banks - West,0,27000.0,7. p90_trade_value,4.0
EWCZ,Consumer Staples,Cosmetics,0,60000.0,1. p999999_trade_value,1.0
EWTX,Medical,Medical - Biomedical and Genetics,0,,,
EXAS,Medical,Medical - Biomedical and Genetics,0,,,
EXC,Utilities,Utility - Electric Power,0,,,
EXE,Oils-Energy,Alternative Energy - Other,0,699000.0,1. p999999_trade_value,1.0
EXEL,Medical,Medical - Biomedical and Genetics,0,,,
EXFY,Business Services,Financial Transaction Services,0,,,
EXK,Basic Materials,Mining - Silver,0,12650.0,6. p95_trade_value,2.0
EXP,Construction,Building Products - Concrete and Aggregates,0,,,
EXPD,Transportation,Transportation - Services,0,,,
EXPE,Retail-Wholesale,Internet - Commerce,0,498000.0,4. p999_trade_value,3.0
EXPI,Finance,Real Estate - Operations,0,,,
EXPO,Business Services,Consulting Services,0,,,
EXR,Finance,REIT and Equity Trust - Other,0,,,
EXTR,Computer and Technology,Computer - Networking,0,78771.99999999999,1. p999999_trade_value,1.0
EYE,Consumer Staples,Consumer Products - Staples,0,24000.0,6. p95_trade_value,2.0
EYEN,Medical,Medical - Biomedical and Genetics,0,,,
EYPT,Medical,Medical - Biomedical and Genetics,0,,,
EZPW,Finance,Financial - Consumer Loans,0,,,
F,Auto-Tires-Trucks,Automotive - Domestic,0,299760.00000000006,4. p999_trade_value,4.0
FA,Business Services,Technology Services,0,,,
FAF,Finance,Insurance - Property and Casualty,0,3960.0,1. p999999_trade_value,1.0
FANG,Oils-Energy,Oil and Gas - Exploration and Production - United States,0,,,
FARO,Computer and Technology,Computer - Integrated Systems,0,20000.0,1. p999999_trade_value,1.0
FAST,Retail-Wholesale,Building Products - Retail,0,,,
FATE,Medical,Medical - Biomedical and Genetics,0,7475.0,8. p75_trade_value,2.0
FBIN,Retail-Wholesale,Retail - Home Furnishings,0,149600.0,1. p999999_trade_value,2.0
FBIO,Medical,Medical - Biomedical and Genetics,0,,,
FBK,Finance,Banks - Northeast,0,6500.0,1. p999999_trade_value,1.0
FC,Business Services,Consulting Services,0,,,
FCBC,Finance,Banks - Southeast,0,,,
FCEL,Oils-Energy,Alternative Energy - Other,0,45000.0,1. p999999_trade_value,1.0
FCFS,Business Services,Financial Transaction Services,0,4160.0,8. p75_trade_value,2.0
FCN,Business Services,Consulting Services,0,,,
FCNCA,Finance,Banks - Southeast,0,,,
FCX,Basic Materials,Mining - Non Ferrous,0,,,
FDMT,Medical,Medical - Drugs,0,,,
FDP,Consumer Staples,Agriculture - Operations,0,8800.0,7. p90_trade_value,2.0
FDS,Business Services,Business - Information Services,0,20880.0,5. p99_trade_value,2.0
FDX,Transportation,Transportation - Air Freight and Cargo,0,,,
FE,Utilities,Utility - Electric Power,0,,,
FERG,Industrial Products,Manufacturing - General Industrial ,0,62500.0,5. p99_trade_value,3.0
FFAI,Auto-Tires-Trucks,Automotive - Original Equipment,0,,,
FFIC,Finance,Financial - Savings and Loan,0,,,
FFIV,Computer and Technology,Internet - Software,0,44000.00000000001,5. p99_trade_value,6.0
FGEN,Medical,Medical - Drugs,0,7265.000000000001,1. p999999_trade_value,1.0
FHI,Finance,Financial - Investment Management,0,12000.0,1. p999999_trade_value,1.0
FHN,Finance,Banks - Southwest,0,702000.0,1. p999999_trade_value,1.0
FI,Business Services,Financial Transaction Services,0,,,
FICO,Computer and Technology,Computers - IT Services,0,150000.0,4. p999_trade_value,5.0
FIGS,Retail-Wholesale,Retail - Apparel and Shoes,0,,,
FINV,Finance,Financial - Miscellaneous Services,0,29970.0,8. p75_trade_value,2.0
FIP,Finance,Real Estate - Operations,0,8350.0,8. p75_trade_value,3.0
FIS,Business Services,Financial Transaction Services,0,,,
FITB,Finance,Banks - Major Regional,0,123000.0,5. p99_trade_value,2.0
FIVE,Retail-Wholesale,Retail - Miscellaneous,0,777000.0,1. p999999_trade_value,1.0
FIVN,Computer and Technology,Internet - Software,0,287500.0,1. p999999_trade_value,1.0
FIX,Construction,Building Products - Air Conditioner and Heating,0,274160.0,1. p999999_trade_value,1.0
FIZZ,Consumer Staples,Beverages - Soft drinks,0,,,
FL,Retail-Wholesale,Retail - Apparel and Shoes,0,,,
FLEX,Computer and Technology,Electronics - Miscellaneous Products,0,170170.0,1. p999999_trade_value,1.0
FLG,Finance,Banks - Northeast,0,,,
FLGT,Medical,Medical Info Systems,0,3900.0,1. p999999_trade_value,1.0
FLNC,Oils-Energy,Alternative Energy - Other,0,,,
FLNG,Transportation,Transportation - Shipping,0,,,
FLO,Consumer Staples,Food - Miscellaneous,0,,,
FLR,Construction,Engineering - R and D Services,0,25000.0,6. p95_trade_value,28.0
FLS,Industrial Products,Manufacturing - General Industrial ,0,60600.0,1. p999999_trade_value,1.0
FLUT,Consumer Discretionary,Gaming,0,,,
FLWS,Retail-Wholesale,Retail - Mail Order,0,4800.0,8. p75_trade_value,2.0
FLYW,Computer and Technology,Internet - Software,0,,,
FMC,Consumer Staples,Agriculture - Operations,0,,,
FMNB,Finance,Banks - Midwest,0,,,
FMX,Consumer Staples,Beverages - Soft drinks,0,11130.000000000002,8. p75_trade_value,3.0
FN,Computer and Technology,Electronics - Miscellaneous Components,0,,,
FND,Retail-Wholesale,Retail - Home Furnishings,0,,,
FNF,Finance,Insurance - Multi line,0,,,
FNGR,Business Services,Technology Services,0,9000.0,6. p95_trade_value,5.0
FNKO,Consumer Discretionary,Consumer Products - Discretionary,0,,,
FNV,Basic Materials,Mining - Gold,0,,,
FOA,Finance,Financial - Mortgage & Related Services,0,5865.0,1. p999999_trade_value,1.0
FOLD,Medical,Medical - Biomedical and Genetics,0,,,
FOR,Finance,Real Estate - Development,0,4500.0,1. p999999_trade_value,1.0
FORM,Computer and Technology,Electronics - Semiconductors,0,,,
FOSL,Retail-Wholesale,Retail - Apparel and Shoes,0,,,
FOUR,Business Services,Financial Transaction Services,0,311200.0,1. p999999_trade_value,1.0
FOX,Consumer Discretionary,Broadcast Radio and Television,0,6761.999999999999,1. p999999_trade_value,1.0
FOXA,Consumer Discretionary,Broadcast Radio and Television,0,,,
FOXF,Auto-Tires-Trucks,Automotive - Domestic,0,55000.0,1. p999999_trade_value,1.0
FPH,Finance,Real Estate - Development,0,,,
FRGE,Finance,Financial - Miscellaneous Services,0,5830.0,1. p999999_trade_value,1.0
FRHC,Finance,Financial - Miscellaneous Services,0,12000.0,1. p999999_trade_value,1.0
FRME,Finance,Banks - Midwest,0,,,
FRO,Transportation,Transportation - Shipping,0,,,
FROG,Computer and Technology,Internet - Software,0,250740.0,1. p999999_trade_value,1.0
FRPT,Consumer Staples,Food - Miscellaneous,0,247625.0,5. p99_trade_value,5.0
FRSH,Computer and Technology,Internet - Software,0,84254.00000000001,1. p999999_trade_value,1.0
FRSX,Business Services,Technology Services,0,,,
FRT,Finance,REIT and Equity Trust - Retail,0,128810.00000000001,8. p75_trade_value,3.0
FSK,Finance,Financial - SBIC & Commercial Industry,0,4800.0,8. p75_trade_value,3.0
FSLR,Oils-Energy,Solar,0,,,
FSLY,Computer and Technology,Internet - Software,0,201000.00000000003,1. p999999_trade_value,1.0
FSM,Basic Materials,Mining - Miscellaneous,0,13540.0,1. p999999_trade_value,1.0
FSS,Conglomerates,Diversified Operations,0,,,
FTAI,Aerospace,Aerospace - Defense Equipment,0,,,
FTDR,Construction,Building Products - Miscellaneous,0,,,
FTEK,Industrial Products,Pollution Control,0,9970.0,1. p999999_trade_value,1.0
FTI,Oils-Energy,Oil and Gas - Field Services,0,256000.0,7. p90_trade_value,6.0
FTNT,Computer and Technology,Security,0,980500.0,1. p999999_trade_value,1.0
FTRE,Medical,Medical - Biomedical and Genetics,0,145000.0,1. p999999_trade_value,1.0
FTV,Computer and Technology,Electronics - Testing Equipment,0,82390.00000000001,6. p95_trade_value,3.0
FUBO,Consumer Discretionary,Broadcast Radio and Television,0,,,
FUL,Basic Materials,Chemical - Specialty,0,,,
FUN,Consumer Discretionary,Leisure and Recreation Services,0,,,
FUTU,Business Services,Technology Services,0,550000.0,3. p9999_trade_value,2.0
FVCB,Finance,Banks - Southeast,0,,,
FVRR,Retail-Wholesale,Internet - Commerce,0,136640.0,1. p999999_trade_value,1.0
FWONK,Consumer Discretionary,Media Conglomerates,0,251125.0,1. p999999_trade_value,1.0
FWRD,Transportation,Transportation - Truck,0,,,
FWRG,Retail-Wholesale,Retail - Restaurants,0,16060.0,1. p999999_trade_value,1.0
FYBR,Computer and Technology,Communication - Network Software,0,,,
G,Computer and Technology,Computers - IT Services,0,3569.9999999999995,2. p99999_trade_value,1.0
GALT,Medical,Medical - Drugs,0,,,
GAMB,Business Services,Advertising and Marketing,0,11400.0,7. p90_trade_value,2.0
GANX,Medical,Medical - Drugs,0,7500.0,1. p999999_trade_value,1.0
GAP,Retail-Wholesale,Retail - Apparel and Shoes,0,495000.0,4. p999_trade_value,2.0
GATX,Transportation,Transportation - Equipment and Leasing,0,3020.0,1. p999999_trade_value,1.0
GBCI,Finance,Banks - West,0,,,
GBDC,Finance,Financial - SBIC & Commercial Industry,0,7450.0,1. p999999_trade_value,1.0
GBTG,Computer and Technology,Internet - Software,0,,,
GBX,Transportation,Transportation - Equipment and Leasing,0,50745.0,1. p999999_trade_value,1.0
GCI,Business Services,Advertising and Marketing,0,,,
GCO,Retail-Wholesale,Retail - Apparel and Shoes,0,,,
GCT,Business Services,Technology Services,0,480000.0,1. p999999_trade_value,1.0
GD,Aerospace,Aerospace - Defense,0,172040.0,1. p999999_trade_value,1.0
GDDY,Computer and Technology,Internet - Delivery Services,0,,,
GDEN,Consumer Discretionary,Gaming,0,,,
GDRX,Medical,Medical Services,0,,,
GDS,Business Services,Technology Services,0,232648.0,1. p999999_trade_value,1.0
GDYN,Computer and Technology,Computers - IT Services,0,6750.0,8. p75_trade_value,2.0
GE,Aerospace,Aerospace - Defense,0,820000.0,4. p999_trade_value,11.0
GEF,Industrial Products,Containers - Paper and Packaging,0,8000.0,8. p75_trade_value,2.0
GEHC,Medical,Medical - Products,0,775000.0,1. p999999_trade_value,1.0
GEL,Oils-Energy,Oil and Gas - Refining and Marketing - Master Limited Partnerships,0,,,
GEN,Business Services,Technology Services,0,,,
GENI,Computer and Technology,Internet - Content,0,21000.0,6. p95_trade_value,4.0
GEO,Business Services,Government Services,0,405000.00000000006,4. p999_trade_value,2.0
GERN,Medical,Medical - Biomedical and Genetics,0,,,
GES,Consumer Discretionary,Textile - Apparel,0,,,
GETY,Computer and Technology,Internet - Software,0,,,
GEV,Oils-Energy,Alternative Energy - Other,0,,,
GEVO,Oils-Energy,Alternative Energy - Other,0,,,
GFF,Conglomerates,Diversified Operations,0,,,
GFI,Basic Materials,Mining - Gold,0,74000.0,5. p99_trade_value,2.0
GFL,Business Services,Waste Removal Services,0,,,
GFS,Computer and Technology,Electronics - Semiconductors,0,,,
GGAL,Finance,Banks - Foreign,0,,,
GGG,Industrial Products,Manufacturing - General Industrial ,0,17577.0,8. p75_trade_value,2.0
GH,Medical,Medical - Biomedical and Genetics,0,,,
GHRS,Medical,Medical - Biomedical and Genetics,0,19900.0,8. p75_trade_value,2.0
GIB,Computer and Technology,Computer - Services,0,,,
GIII,Consumer Discretionary,Textile - Apparel,0,8900.0,7. p90_trade_value,3.0
GIL,Consumer Discretionary,Textile - Apparel,0,3840.0000000000005,8. p75_trade_value,2.0
GILD,Medical,Medical - Biomedical and Genetics,0,,,
GIS,Consumer Staples,Food - Miscellaneous,0,300000.0,1. p999999_trade_value,1.0
GKOS,Medical,Medical - Instruments,0,,,
GL,Finance,Insurance - Accident and Health,0,,,
GLAD,Finance,Financial - SBIC & Commercial Industry,0,3339.0,1. p999999_trade_value,1.0
GLBE,Retail-Wholesale,Internet - Commerce,0,,,
GLDD,Construction,Building Products - Heavy Construction,0,5625.0,1. p999999_trade_value,1.0
GLNG,Oils-Energy,Oil and Gas - Integrated - International,0,,,
GLOB,Computer and Technology,Internet - Software and Services,0,930000.0,1. p999999_trade_value,1.0
GLPG,Medical,Medical - Biomedical and Genetics,0,,,
GLPI,Finance,REIT and Equity Trust - Other,0,8750.0,7. p90_trade_value,5.0
GLUE,Medical,Medical - Biomedical and Genetics,0,21060.0,1. p999999_trade_value,1.0
GLW,Computer and Technology,Communication - Components,0,,,
GLXY,Finance,Financial - Miscellaneous Services,0,,,
GM,Auto-Tires-Trucks,Automotive - Domestic,0,490000.0,4. p999_trade_value,8.0
GMAB,Medical,Medical - Biomedical and Genetics,0,,,
GME,Consumer Discretionary,Gaming,0,,,
GMED,Medical,Medical - Instruments,0,240000.0,5. p99_trade_value,2.0
GMS,Retail-Wholesale,Building Products - Retail,0,,,
GNK,Transportation,Transportation - Shipping,0,,,
GNLX,Medical,Medical - Biomedical and Genetics,0,,,
GNRC,Industrial Products,Manufacturing - General Industrial ,0,,,
GNW,Finance,Insurance - Life Insurance,0,13619.999999999998,8. p75_trade_value,7.0
GO,Consumer Staples,Consumer Products - Staples,0,7200.0,8. p75_trade_value,14.0
GOGL,Transportation,Transportation - Shipping,0,18400.0,7. p90_trade_value,5.0
GOGO,Computer and Technology,Wireless National,0,19800.0,1. p999999_trade_value,1.0
GOLF,Consumer Discretionary,Leisure and Recreation Products,0,11250.0,1. p999999_trade_value,1.0
GOOG,Computer and Technology,Internet - Services,0,,,
GOOGL,Computer and Technology,Internet - Services,0,,,
GOOS,Retail-Wholesale,Retail - Apparel and Shoes,0,,,
GOTU,Consumer Discretionary,Schools,0,7275.0,6. p95_trade_value,2.0
