security,sector,industry,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
BBVA,Finance,Banks - Foreign,15__0,15,3,0.0,1. p999999_trade_value,45640.0,45640.0,O:BBVA241115C00010000,BBVA,C,10.0,2024-11-15,209,0,302,0.35,1729776645518000000,1304,45640.0,2024-10-24,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,9.87,9.89,9.74,9.82,1,4.659345635746177,20,1,1,0,0,0
BKU,Finance,Banks - Major Regional,0__2,0,3,2.0,1. p999999_trade_value,3750.0,3750.0,O:BKU241115P00035000,BKU,P,35.0,2024-11-15,209,0,308,1.25,1729539281339000000,30,3750.0,2024-10-21,3000.0,30,True,Automatic Execution,Finance,Banks - Major Regional,36.78,37.01,35.01,35.13,1,3.574031267727719,20,1,1,0,0,0
BMA,Finance,Banks - Foreign,15__0,15,3,0.0,1. p999999_trade_value,29000.0,29000.0,O:BMA241220C00085000,BMA,C,85.0,2024-12-20,209,0,313,2.9,1732308373530000000,100,29000.0,2024-11-22,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,80.0,83.4,77.6964,80.91,1,4.4623979978989565,20,1,1,1,1,0
BNS,Finance,Banks - Foreign,15__0,15,3,0.0,6. p95_trade_value,21000.0,21000.0,O:BNS250417P00047500,BNS,P,47.5,2025-04-17,209,0,308,1.05,1742484833289000000,200,21000.0,2025-03-20,3000.0,30,True,Automatic Execution,Finance,Banks - Foreign,47.94,48.1684,47.76,48.1,2,4.3222192947339195,20,1,1,1,1,0
BNS,Finance,Banks - Foreign,15__0,15,3,0.0,1. p999999_trade_value,27600.0,27600.0,O:BNS250620C00052500,BNS,C,52.5,2025-06-20,219,0,316,0.6,1747850378085000000,460,27600.0,2025-05-21,3000.0,30,True,Intermarket Sweep Order,Finance,Banks - Foreign,51.57,51.82,51.39,51.54,1,4.440909082065217,20,1,1,0,0,0
BOKF,Finance,Banks - Southwest,5__0,5,3,0.0,1. p999999_trade_value,9900.0,9900.0,O:BOKF241115P00105000,BOKF,P,105.0,2024-11-15,209,0,308,3.3,1729605779413000000,30,9900.0,2024-10-22,3000.0,30,True,Automatic Execution,Finance,Banks - Southwest,108.0,109.24,105.15,107.96,1,3.99563519459755,20,1,1,0,0,0
BPOP,Finance,Banks - Southeast,5__0,5,3,0.0,1. p999999_trade_value,13097.999999999998,13097.999999999998,O:BPOP250221C00105000,BPOP,C,105.0,2025-02-21,227,0,301,1.77,1737576300151000000,74,13097.999999999998,2025-01-22,3000.0,30,True,Single Leg Auction Non ISO,Finance,Banks - Southeast,100.16,100.89,99.76,99.99,1,4.117204986092783,20,1,1,0,0,0
CADE,Finance,Banks - Southeast,0__2,0,3,2.0,1. p999999_trade_value,3750.0,3750.0,O:CADE241115C00035000,CADE,C,35.0,2024-11-15,209,0,316,0.75,1729701448696000000,50,3750.0,2024-10-23,3000.0,30,True,Automatic Execution,Finance,Banks - Southeast,34.18,34.25,33.27,33.82,1,3.574031267727719,20,1,1,1,1,0
CCB,Finance,Banks - West,5__0,5,3,0.0,1. p999999_trade_value,9000.0,9000.0,O:CCB250417P00080000,CCB,P,80.0,2025-04-17,209,0,323,1.8,1743186528562000000,50,9000.0,2025-03-28,3000.0,30,True,Automatic Execution,Finance,Banks - West,91.9,92.125,88.732,90.39,1,3.9542425094393248,20,1,1,0,0,0
CPF,Finance,Banks - West,0__0,0,3,0.0,1. p999999_trade_value,11250.0,11250.0,O:CPF241018C00030000,CPF,C,30.0,2024-10-18,231,0,301,0.45,1727203424901000000,250,11250.0,2024-09-24,3000.0,30,True,Single Leg Floor Trade,Finance,Banks - West,28.9,28.9,28.24,28.49,1,4.051152522447381,20,1,1,0,0,0
EBC,Finance,Banks - Northeast,10__0,10,3,0.0,8. p75_trade_value,5500.000000000001,11200.000000000002,O:EBC241115C00017500,EBC,C,17.5,2024-11-15,209,0,316,0.56,1729276282042000000,200,11200.000000000002,2024-10-18,3000.0,30,True,Automatic Execution,Finance,Banks - Northeast,17.43,17.48,17.21,17.28,3,4.049218022670182,20,3,1,1,1,0
EBC,Finance,Banks - Northeast,10__0,10,3,0.0,1. p999999_trade_value,15000.0,15000.0,O:EBC241115C00017500,EBC,C,17.5,2024-11-15,209,0,303,0.6,1729271763610000000,250,15000.0,2024-10-18,3000.0,30,True,Automatic Execution,Finance,Banks - Northeast,17.43,17.48,17.21,17.28,1,4.176091259055681,20,1,1,1,1,0
EBC,Finance,Banks - Northeast,10__0,10,3,0.0,7. p90_trade_value,12000.0,12000.0,O:EBC241115C00017500,EBC,C,17.5,2024-11-15,209,0,320,0.6,1729274393936000000,200,12000.0,2024-10-18,3000.0,30,True,Automatic Execution,Finance,Banks - Northeast,17.43,17.48,17.21,17.28,2,4.079181246047625,20,2,1,1,1,0
EBC,Finance,Banks - Northeast,10__0,10,3,0.0,8. p75_trade_value,5500.000000000001,11200.000000000002,O:EBC241115C00017500,EBC,C,17.5,2024-11-15,209,0,308,0.55,1729276242033000000,100,5500.000000000001,2024-10-18,3000.0,30,True,Automatic Execution,Finance,Banks - Northeast,17.43,17.48,17.21,17.28,6,3.740362689494244,20,6,1,1,1,0
EBC,Finance,Banks - Northeast,10__0,10,3,0.0,8. p75_trade_value,5500.000000000001,11200.000000000002,O:EBC250321P00017500,EBC,P,17.5,2025-03-21,227,0,323,0.55,1740167528866000000,100,5500.000000000001,2025-02-21,3000.0,30,True,Single Leg Auction Non ISO,Finance,Banks - Northeast,18.36,18.48,17.64,17.74,5,3.740362689494244,20,5,1,1,1,0
